term	medcodeid	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid
h/o: alcoholism	251626014	1462	1462.00	161466001	251626014
alcohol dependence resolved	2358251000000115	2126C	2126C00	918321000000104	2358251000000115
severity of alcohol dependence questionnaire score	409423019	38Dz	38Dz.00	443504004	2839850016
sadq - severity of alcohol dependence questionnaire	409424013	38Dz-1	38Dz.11	443504004	2839850016
sadq - severity of alcohol dependence questionnaire	11929541000006113	^ESCT1192954	NA	273799006	409424013
alcohol detoxification	106878015	8BA8	8BA8.00	64297001	106878015
alcohol detoxification	13929361000006112	^ESCT1392936	NA	827094004	3873802018
aversion therapy - alcoholism	283451018	8G32	8G32.00	183388004	283451018
admitted to alcohol detoxification centre	283559019	8H35	8H35.00	183486001	283559019
in-house alcohol detoxification	1878791000006112	EMISNQIN186	NA	1878791000006108	1878791000006112
in-house alcohol detoxification	2298341000000114	9NJz	9NJz.00	892631000000102	2298341000000114
withdrawn from alcohol detoxification programme	2462911000000112	9NgzH	9NgzH00	719340007	3316032010
alcohol withdrawal delirium	15243013	E010	E010.00	8635005	15243013
dts - delirium tremens	507053019	E010-1	E010.11	8635005	507053019
delirium tremens	15244019	E010-2	E010.12	8635005	15244019
chronic alcoholic brain syndrome	294668018	E0120	E012000	191475009	294668018
alcohol withdrawal hallucinosis	294669014	E013	E013.00	191476005	294669014
alcohol withdrawal syndrome	294674018	E01y0	E01y000	191480000	294674018
alcohol dependence syndrome	500478011	E23	E23..00	66590003	500478011
alcoholism	12878014	E23-1	E23..11	66590003	110629012
alcoholism	2614651000006115	^ESCTAL261465	NA	7200002	12878014
alcohol problem drinking	502017010	E23-2	E23..12	7200002	502017010
acute alcoholic intoxication in alcoholism	295127018	E230	E230.00	191802004	295127018
alcohol dependence with acute alcoholic intoxication	295126010	E230-1	E230.11	191802004	295126010
acute alcoholic intoxication, unspecified, in alcoholism	295128011	E2300	E230000	191802004	295127018
continuous acute alcoholic intoxication in alcoholism	295129015	E2301	E230100	191804003	295129015
episodic acute alcoholic intoxication in alcoholism	295130013	E2302	E230200	191805002	295130013
acute alcoholic intoxication in remission, in alcoholism	295131012	E2303	E230300	191806001	295131012
acute alcoholic intoxication in alcoholism nos	295132017	E230z	E230z00	191802004	295127018
chronic alcoholism	110629012	E231	E231.00	66590003	110629012
dipsomania	502016018	E231-1	E231.11	7200002	502016018
alcohol dependence	295136019	E2310	E231000	66590003	110628016
