"medcodeid"	"originalreadcode"	"readcode"	"term"	"snomedctconceptid"	"snomedctdescriptionid"	"emiscodecategoryid"	"weight"	"height"
253677014	"22A"	"22A..00"	"Body weight"	27113001	45352010	2	9	NA
253669010	"229"	"229..00"	"Standing height"	248333004	370729019	2	NA	9
451201014	"66C-1"	"66C..11"	"Weight monitoring"	307818003	451201014	1	9	NA
406169014	"1621"	"1621.00"	"Weight steady"	271398006	406169014	27	9	NA
252191014	"1622"	"1622.00"	"Weight increasing"	161831008	252191014	27	9	NA
252192019	"1623"	"1623.00"	"Weight decreasing"	161832001	252192019	27	9	NA
253676017	"229Z"	"229Z.00"	"O/E - height NOS"	248333004	370729019	2	NA	9
253688015	"22AZ"	"22AZ.00"	"O/E - weight NOS"	27113001	45352010	2	9	NA
411922013	"22A4-1"	"22A4.11"	"O/E - overweight"	275947003	411922013	27	9	NA
253680010	"22A3"	"22A3.00"	"O/E - weight within 10% ideal"	162766004	253680010	2	9	NA
253866018	"22Z"	"22Z..00"	"Height and weight"	162879003	253866018	2	9	9
857681000006117	"EGTONWE3"	NA	"Weight reduction clinic"	857681000006101	857681000006117	37	9	NA
1780175010	"22A7"	"22A7.00"	"Baseline weight"	400967004	1780175010	2	9	NA
402435016	"22A4"	"22A4.00"	"O/E - weight 10-20% over ideal"	268915006	402435016	27	9	NA
317236017	"R031"	"R031.00"	"[D]Abnormal weight gain"	161833006	252194018	27	9	NA
252194018	"1624"	"1624.00"	"Abnormal weight gain"	161833006	252194018	27	9	NA
217781000000116	"22A5"	"22A5.00"	"O/E - weight greater than 20% over ideal"	268916007	402436015	27	9	NA
11905011000006114	"^ESCT1190501"	NA	"O/E - weight"	162763007	253677014	27	9	NA
11905141000006112	"^ESCT1190514"	NA	"O/E - height"	162755006	253669010	27	NA	9
317244017	"R0341"	"R034100"	"Failure to gain weight"	36440009	60809012	32	9	NA
1996951000006119	"EMISNQHE181"	NA	"Height and weight measurement for National Child Measurement Programme"	758931000000104	1674021000000118	2	9	9
253687013	"22A6"	"22A6.00"	"O/E - Underweight"	162769006	253687013	2	9	NA
253672015	"2293"	"2293.00"	"O/E -height within 10% average"	162758008	253672015	2	NA	9
2159952010	"R0348"	"R034800"	"Underweight"	248342006	370738017	32	9	NA
7879461000006116	"^ESCTWE787946"	NA	"Weight"	726527001	3450321013	31	9	NA
356960015	"22AA"	"22AA.00"	"Overweight"	238131007	356960015	2	9	NA
1750501000006114	"EMISNQCH68"	NA	"Checking weight monitoring"	1750501000006105	1750501000006114	37	9	NA
2536041016	"1621-1"	"1621.11"	"Weight static"	271398006	2536041016	27	9	NA
59281000006111	"6878-1"	"6878.11"	"Weight screening"	804271000000109	1798011000000116	1	9	NA
1910921000006114	"EMISNQES11"	NA	"Estimated height"	1910921000006105	1910921000006114	2	NA	9
3315721000006119	"^ESCTBO331572"	NA	"Body height"	50373000	83914018	31	NA	9
1910901000006116	"EMISNQES10"	NA	"Estimated weight"	1910901000006100	1910901000006116	2	9	NA
253679012	"22A2"	"22A2.00"	"O/E -weight 10-20% below ideal"	162765000	253679012	2	9	NA
1910911000006118	"EMISNQRE469"	NA	"Reported weight"	1910911000006102	1910911000006118	2	9	NA
2316211000000111	"1629"	"1629.00"	"Unintentional weight gain"	441361000124104	653951000124115	27	9	NA
1737991000000117	"1628"	"1628.00"	"Pattern of weight gain"	449361003	2901932013	27	9	NA
406131000000117	"9N4v"	"9N4v.00"	"Did not attend weight monitoring clinic"	248051000000100	406131000000117	37	9	NA
3203281000006116	"^ESCTNO320328"	NA	"Normal weight"	43664005	72805014	27	9	NA
1809441000006111	"EMISNQWE11"	NA	"Weight change"	248346009	370743012	27	9	NA
1910931000006112	"EMISNQRE470"	NA	"Reported height"	1910931000006108	1910931000006112	2	NA	9
272551000006116	"22A1"	"22A1.00"	"O/E - weight > 20% below ideal"	162764001	253678016	2	9	NA
910251000006110	"HNGNQRF70"	NA	"[RFC] Overweight"	910251000006106	910251000006110	12	9	NA
909921000006118	"HNGNQRF37"	NA	"[RFC] Weight problem"	909921000006102	909921000006118	12	9	NA
1849891000006112	"EMISNQOV6"	NA	"Overweight child"	1849891000006108	1849891000006112	2	9	NA
284561000006119	"2292"	"2292.00"	"O/E - height 10-20% < average"	162757003	253671010	2	NA	9
253673013	"2294"	"2294.00"	"O/E-height 10-20% over average"	162759000	253673013	2	NA	9
908721000006111	"HNG0530"	NA	"[RFC] Overweight/ underweight"	908721000006107	908721000006111	12	9	NA
271181000006113	"2291"	"2291.00"	"O/E-height > 20% below average"	162756007	253670011	2	NA	9
5529851000006116	"^ESCTHA552985"	NA	"Has not grown in height"	271817008	406786011	32	NA	9
272151000006114	"2295"	"2295.00"	"O/E -height > 20% over average"	162760005	253674019	2	NA	9
5524151000006112	"^ESCTWE552415"	NA	"Weight stable"	271398006	406170010	27	9	NA
4150511000006113	"^ESCTWE415051"	NA	"Weight finding"	107647005	202291010	31	9	NA
3315711000006110	"^ESCTBO331571"	NA	"Body height measure"	50373000	495662010	31	NA	9
2642891000006110	"^ESCTWE264289"	NA	"Weight gain"	8943002	15766010	31	9	NA
3087271000006119	"^ESCTPO308727"	NA	"Poor weight gain"	36440009	1228649014	32	9	NA
982581000006118	"EMISCWE5"	NA	"Weight (Over)"	982581000006102	982581000006118	27	9	NA
982591000006115	"EMISCWE6"	NA	"Weight (Under)"	982591000006104	982591000006115	27	9	NA
5990011000006117	"^ESCTNO599001"	NA	"Normal height"	309534003	452982012	31	NA	9
923831000006115	"PCNQOE1"	NA	"O/E - height"	923831000006104	923831000006115	42	NA	9
3976301000006116	"^ESCTHE397630"	NA	"Heavy (weight)"	90845004	150547014	31	9	NA
910261000006112	"HNGNQRF71"	NA	"[RFC] Underweight"	910261000006108	910261000006112	12	9	NA
923851000006110	"PCNQOE3"	NA	"O/E - weight"	923851000006106	923851000006110	42	9	NA
5256071000006119	"^ESCTGE525607"	NA	"General finding of height"	248327008	370721016	31	NA	9
982611000006114	"EMISCHE8"	NA	"Height (Under)"	982611000006105	982611000006114	27	NA	9
982601000006111	"EMISCHE7"	NA	"Height (Over)"	982601000006107	982601000006111	27	NA	9
5892251000006115	"^ESCTBO589225"	NA	"Body weight problem"	301336003	442614014	31	9	NA
4935051000006112	"^ESCTEX493505"	NA	"Excessive weight gain"	224994002	338162014	31	9	NA
4551821000006117	"^ESCTOE455182"	NA	"O/E - weight greater than 20% below ideal"	162764001	253678016	2	9	NA
2934311000006118	"^ESCTWE293431"	NA	"Weight"	27113001	598581000000118	2	9	NA
3087291000006118	"^ESCTNO308729"	NA	"Not gaining weight"	36440009	1228651013	32	9	NA
13638231000006116	"^ESCT1363823"	NA	"Self reported body weight"	784399000	3768525013	31	9	NA
