"originalreadcode"	"cleansedreadcode"	"term"	"snomedctconceptid"	"snomedctdescriptionid"	"emiscodecategoryid"	"medcodeid"
"13F6"	"13F6.00"	"nursing or other home"	"160733006"	"250559012"	"17"	"296351000006117"
"13F61"	"13F6100"	"lives in a nursing home"	"160734000"	"250560019"	"17"	"250560019"
"13F7"	"13F7.00"	"residential institution"	"419955002"	"2576619011"	"17"	"1219123014"
"13F72"	"13F7200"	"lives in an old peoples home"	"160737007"	"250563017"	"17"	"738781000006113"
"13FK"	"13FK.00"	"lives in a residential home"	"394923006"	"1488625019"	"17"	"1488625019"
"13FT"	"13FT.00"	"lives in an old peoples home"	"160737007"	"250563017"	"17"	"250563017"
"13FX"	"13FX.00"	"lives in care home"	"248171000000108"	"406371000000117"	"17"	"406371000000117"
"8Ce4"	"8Ce4.00"	"preferred place of care - nursing home"	"505551000000102"	"1123481000000113"	"32"	"1123481000000113"
"8HE6"	"8HE6.00"	"delayed discharge to nursing home"	"183672007"	"283813014"	"40"	"283813014"
"8Hs"	"8Hs..00"	"discharge to nursing home"	"306694006"	"449801010"	"40"	"449801010"
"8Ht"	"8Ht..00"	"admission to nursing home"	"763301000000108"	"1692851000000118"	"40"	"1692851000000118"
"8O24"	"8O24.00"	"provision of continuing care in nursing home"	"299701000000103"	"530521000000114"	"32"	"530521000000114"
"9N1F-2"	"9N1F.12"	"seen in old people's home"	"275691001"	"411631010"	"37"	"411631010"
"9N1G"	"9N1G.00"	"seen in nursing home"	"185218006"	"285209012"	"37"	"285209012"
"9N1H"	"9N1H.00"	"seen in elderly mentally infirm home"	"185219003"	"285210019"	"37"	"153661000006114"
"9N6u"	NA	"referred by care home"	"719023008"	"3314705012"	"37"	"2587751000000117"
"9NFW"	"9NFW.00"	"care home visit"	"889311000000109"	"2290511000000115"	"37"	"2290511000000115"
"9NFW0"	"9NFW000"	"care home visit for initial patient assessment"	"889331000000101"	"2290551000000116"	"37"	"2290551000000116"
"9NFW1"	"9NFW100"	"care home visit for follow-up patient review"	"889351000000108"	"2290591000000112"	"37"	"2290591000000112"
"9b0Y"	"9b0Y.00"	"nursing home visit note"	"24751000000101"	"62241000000112"	"37"	"62241000000112"
"9b0i"	"9b0i.00"	"residential home visit note"	"24631000000103"	"62101000000117"	"37"	"62101000000117"
"9b1P"	"9b1P.00"	"nursing home"	"42665001"	"71184010"	"37"	"71184010"
"9b75"	"9b75.00"	"other voluntary or private hospital or nursing home"	"288573005"	"428253010"	"37"	"1488495017"
"9b79"	"9b79.00"	"other residential care homes managed by local authority"	"288573005"	"428253010"	"37"	"1488499011"
"9b7A"	"9b7A.00"	"other residential care home man voluntary/private agents"	"288573005"	"428253010"	"37"	"1488500019"
"9kw"	"9kw..00"	"care home enhanced services administration"	"910361000000105"	"2340151000000110"	"37"	"2340151000000110"
"EMISNQAC742"	NA	"activity location: residential care home"	"1777721000006107"	"1777721000006111"	"37"	"1777721000006111"
"EMISNQAC743"	NA	"activity location: nursing home"	"1777731000006105"	"1777731000006114"	"37"	"1777731000006114"
"EMISNQAC800"	NA	"accom status - mental health registered care home"	"1872341000006102"	"1872341000006118"	"37"	"1872341000006118"
"EMISNQAC812"	NA	"accom status - non-mental health registered care home"	"1872471000006102"	"1872471000006118"	"37"	"1872471000006118"
"EMISNQAC823"	NA	"accom status - nursing home for older persons"	"1872581000006100"	"1872581000006116"	"37"	"1872581000006116"
"EMISNQAC886"	NA	"activity location: integrated care home without nursing and care home with nursing"	"14282491000006106"	"14282491000006110"	"37"	"14282491000006110"
"EMISNQCA1056"	NA	"care home visit for annual patient review"	"1920601000006104"	"1920601000006115"	"37"	"1920601000006115"
"EMISNQCA1057"	NA	"care home visit for mid-year patient review"	"1920611000006101"	"1920611000006117"	"37"	"1920611000006117"
"EMISNQDI196"	NA	"discharge to care home"	"1951031000006105"	"1951031000006114"	"32"	"1951031000006114"
"EMISNQLI13"	NA	"lives in a registered adult care home"	"1009771000006105"	"1009771000006114"	"17"	"1009771000006114"
"EMISNQLI43"	NA	"lives in hospice"	"1024771000000108"	"2587161000000115"	"17"	"1859761000006111"
"EMISNQNO159"	NA	"no longer lives in a residential home"	"1990721000006107"	"1990721000006111"	"17"	"1990721000006111"
"EMISNQPR18"	NA	"provision of continuing care in nursing home"	"1583741000006100"	"1583741000006116"	"32"	"1583741000006116"
"EMISNQRE540"	NA	"referred by care home"	"1961541000006104"	"1961541000006115"	"37"	"1961541000006115"
"EMISNQRE62"	NA	"residential home"	"1563511000006108"	"1563511000006112"	"37"	"1563511000006112"
"EMISNQRE63"	NA	"residential home"	"1563731000006107"	"1563731000006111"	"37"	"1563731000006111"
"EMISNQSO27"	NA	"source of community referral: care home"	"1775751000006106"	"1775751000006110"	"40"	"1775751000006110"
"EMISNQWE32"	NA	"weekly care home ward round"	"1920731000006103"	"1920731000006119"	"37"	"1920731000006119"
"ESCTDI11"	NA	"discharge to residential home"	"306691003"	"449798016"	"32"	"449798016"
"ESCTRE44"	NA	"referred by residential home"	"838701000000105"	"2176711000000117"	"37"	"2176711000000117"
"M2701"	"M270100"	"nursing home acquired pressure ulcer"	"446262006"	"2883911013"	"32"	"1647741000000115"
"T77"	"T77..00"	"place of occurrence of accident or poisoning, residential institution"	"216422004"	"328499010"	"32"	"226751000006110"
"T774"	"T774.00"	"place of occurrence of accident or poisoning, old people's home"	"216427005"	"328504010"	"32"	"227981000006119"
"T77z"	"T77z.00"	"accident/poisoning occurred in residential institution nos"	"216422004"	"328499010"	"32"	"445801000006113"
"U1011"	"U101100"	"[x]fall same level from slip trip + stumb occ resid instit"	"217154006"	"329361014"	"32"	"386201000006115"
"U1041"	"U104100"	"[x]fall whle carried/supported oth persons occ resid instit"	"1912002"	"4301012"	"27"	"386461000006118"
"U1051"	"U105100"	"[x]fall involvng wheelchair occurrence residential instit'n"	"17886000"	"30221011"	"32"	"385631000006115"
"U1061"	"U106100"	"[x]fall involving bed occurrence in residential institution"	"20902002"	"35150012"	"32"	"385351000006118"
"U1081"	"U108100"	"[x]fall involv other furniture occurrn resident institut'n"	"1912002"	"4301012"	"27"	"385221000006115"
"U10A1"	"U10A100"	"[x]fall on + from stair + step occurrnce resident instit'n"	"217083007"	"329288019"	"32"	"385951000006119"
"U10D1"	"U10D100"	"[x]fall from out of/thro buildng/struct occ resid instit'n"	"14047009"	"23932013"	"32"	"384791000006112"
"U10F1"	"U10F100"	"[x]fall from cliff, occurrence in residential institution"	"4521008"	"7785014"	"32"	"332995014"
"U10J1"	"U10J100"	"[x]other fall on same level, occurrnce in resident instit'n"	"33036003"	"55141015"	"32"	"410141000006119"
"U10z1"	"U10z100"	"[x]unspecified fall, occurrence in residential institution"	"1912002"	"4301012"	"27"	"333042017"
"U1121"	"U112100"	"[x]striking against or struck by other objects, occurrence in residential institution"	"302979006"	"445028012"	"32"	"427991000006115"
"U1141"	"U114100"	"[x]contact with lifting and transmission devices nec, occurrence in residential institution"	"461591000000104"	"948101000000117"	"32"	"372801000006113"
"U1161"	"U116100"	"[x]contact wth knife sword/dagger occurrn in resid instit'n"	"88817006"	"147266018"	"32"	"374341000006112"
"U11H1"	"U11H100"	"[x]explosion and rupture of pressurised tyre, pipe or hose, occurrence in residential institution"	"393021000000104"	"812181000000110"	"32"	"380641000006118"
"U11Q1"	"U11Q100"	"[x]foreign body enter into/thr eye/natrl orif, resid instit"	"88817006"	"147266018"	"32"	"387231000006113"
"U1201"	"U120100"	"[x]hit, struck, kicked, twisted, bitten or scratched by another person, occurrence in residential institution"	"428200002"	"2692306014"	"32"	"388951000006110"
"U1221"	"U122100"	"[x]crushed, pushed or stepped on by crowd or human stampede, occurrence in residential institution"	"217860008"	"330147013"	"32"	"376071000006113"
"U1251"	"U125100"	"[x]bitten/struck by oth mammal occurrn in resident instit'n"	"37383006"	"62367011"	"32"	"367801000006115"
"U1281"	"U128100"	"[x]bitten/struck by crocodil/alligatr occ in resid instit'n"	"17982002"	"30367013"	"32"	"367681000006113"
"U12A1"	"U12A100"	"[x]contct wth plant thorn+spine+sharp leave occ resid instit"	"419027004"	"2576621018"	"32"	"375451000006115"
"U1431"	"U143100"	"[x]inhalation of gastric contents occurrn resident instit'n"	"30227006"	"50583018"	"32"	"390071000006117"
"U1521"	"U152100"	"[x]exposure to unspecif electric current occ resid instit'n"	"418908004"	"2576853012"	"32"	"384061000006119"
"U1561"	"U156100"	"[x]expos unspecif type of radiatn occurrn resident instit'n"	"218190002"	"330499017"	"32"	"381391000006110"
"U1931"	"U193100"	"[x]victim of lightning, occurrence in residential institution"	"217722008"	"329986014"	"32"	"432191000006117"
"U1951"	"U195100"	"[x]victim of volcanic eruption, occurrence in residential institution"	"90978007"	"150765010"	"32"	"432271000006113"
"U1971"	"U197100"	"[x]victim of cataclysmic storm, occurrence in residential institution"	"217723003"	"329987017"	"32"	"431851000006114"
"U1981"	"U198100"	"[x]victim of flood, occurrence in residential institution"	"420101009"	"2576643014"	"32"	"334315019"
"U211"	"U211.00"	"[x]intent self harm by hangng strangult/suffoct resid instit"	"473791000000101"	"804171000000118"	"32"	"392701000006110"
"U221"	"U221.00"	"[x]intentional self harm by drowning and submersion, occurrence in residential institution"	"473731000000102"	"1016801000000110"	"32"	"392471000006111"
"U241"	"U241.00"	"[x]intentional self harm by rifle, shotgun and larger firearm discharge, occurrence in residential institution"	"393881000000109"	"1021171000000111"	"32"	"391291000006115"
"U291"	"U291.00"	"[x]intentional self harm by sharp object, occurrence in residential institution"	"459811000000100"	"1000081000000112"	"32"	"392891000006114"
"U2A1"	"U2A1.00"	"[x]intentional self harm by blunt object, occurrence in residential institution"	"284756003"	"423529018"	"32"	"392301000006114"
"U2C1"	"U2C1.00"	"[x]intentional self harm by jumping or lying before moving object, occurrence in residential institution"	"224948000"	"338100015"	"32"	"391271000006116"
"U2y1"	"U2y1.00"	"[x]intentional self harm by other specified means, occurrence in residential institution"	"418420002"	"2576648017"	"32"	"392811000006116"
"U321"	"U321.00"	"[x]assault by pesticides, occurrence in residential institution"	"420911000000103"	"804091000000118"	"32"	"365291000006115"
"U3E1"	"U3E1.00"	"[x]assault by sharp object occurrn in resident institution"	"52684005"	"87673015"	"32"	"365601000006113"
"U3F1"	"U3F1.00"	"[x]assault by blunt object occurrn in resident institution"	"52684005"	"87673015"	"32"	"364051000006118"
"U3K1"	"U3K1.00"	"[x]assault by bodily force occurrn in residential institut'n"	"52684005"	"87673015"	"32"	"364141000006116"
"U3L1"	"U3L1.00"	"[x]sexual assault by bodily force occurrn resident instit'n"	"248110007"	"370402013"	"32"	"426721000006117"
"U3y1"	"U3y1.00"	"[x]assault by oth specif means occurrn resident institution"	"52684005"	"87673015"	"32"	"365141000006115"
"U3z1"	"U3z1.00"	"[x]assault by unspecified means occurrn resident institut'n"	"52684005"	"87673015"	"32"	"365951000006116"
"ZV606"	"ZV60600"	"living in residential institution"	"105530003"	"169624014"	"32"	"460973012"
"ZV632-2"	"ZV63212"	"[v]delayed discharge - nursing home vacancy awaited"	"183930009"	"284147017"	"32"	"1227760014"
"ZV6y2"	"ZV6y200"	"[v]other boarder in health-care facility"	"428231000000104"	"1000711000000115"	"32"	"461151010"
"ZV703-7"	"ZV70317"	"[v]old age home admission medical"	"171391001"	"265576011"	"1"	"1227796013"
"ZV70H"	"ZV70H00"	"[v]examination for admission to residential institutions"	"171390000"	"265575010"	"1"	"461172013"
"ZVu57"	"ZVu5700"	"[x]other boarder in health care facility"	"411851000000109"	"888891000000119"	"32"	"461467011"
"^ESCT1273860"	NA	"seen by clinical pharmacist in care home"	"1129891000000107"	"1860671000000118"	"37"	"12738601000006111"
"^ESCT1307297"	NA	"living temporarily in care home"	"1240291000000104"	"2803151000000114"	"17"	"13072971000006116"
"^ESCT1399632"	NA	"died in residential home"	"1325731000000106"	"2840951000000110"	"37"	"13996321000006115"
"^ESCT1399642"	NA	"registration with gp (general practitioner) practice aligned to care home declined"	"1325851000000107"	"2841241000000114"	"32"	"13996421000006114"
"^ESCT1399643"	NA	"registration with general practitioner practice aligned to care home declined"	"1325851000000107"	"2841281000000118"	"32"	"13996431000006112"
"^ESCT1413029"	NA	"died in care home"	"876880009"	"3987885010"	"37"	"14130291000006116"
"^ESCT1413033"	NA	"died in nursing home"	"876884000"	"3987894016"	"37"	"14130331000006111"
"^ESCT1467388"	NA	"nursing home acquired pressure injury"	"446262006"	"4666942013"	"32"	"14673881000006114"
"^ESCT1507509"	NA	"lives in nursing home"	"160734000"	"5150698017"	"17"	"15075091000006118"
"^ESCTDI595952"	NA	"discharge to private residential home"	"306692005"	"449799012"	"31"	"5959521000006119"
"^ESCTDI595955"	NA	"discharge to private nursing home"	"306695007"	"449802015"	"31"	"5959551000006111"
"^ESCTFA722496"	NA	"fall in nursing home"	"439570003"	"2792825018"	"31"	"7224961000006115"
"^ESCTHO845363"	NA	"home visit requested by care home staff"	"1078511000000102"	"2703921000000116"	"31"	"8453631000006112"
"^ESCTLI492534"	NA	"lives in staffed home"	"224224003"	"337211019"	"31"	"4925341000006114"
"^ESCTLO805396"	NA	"local authority care home"	"193161000000101"	"287791000000117"	"31"	"8053961000006119"
"^ESCTNH318775"	NA	"nh - nursing home"	"42665001"	"493410016"	"37"	"3187751000006110"
"^ESCTNH817847"	NA	"nhs mental health nursing home/residential care"	"466661000000101"	"949731000000117"	"31"	"8178471000006115"
"^ESCTNO813718"	NA	"non nhs registered mental health nursing home/residential care"	"401491000000101"	"949741000000114"	"31"	"8137181000006113"
"^ESCTNO817126"	NA	"non nhs registered nursing home mental health care for older adults - 24 hour not intensive"	"454801000000101"	"955091000000115"	"31"	"8171261000006117"
"^ESCTPA807490"	NA	"patient transfer to nursing home"	"239541000000104"	"388801000000112"	"31"	"8074901000006115"
"^ESCTPA807494"	NA	"patient transfer to residential home"	"239581000000107"	"388881000000119"	"31"	"8074941000006118"
"^ESCTPR599772"	NA	"private residential home"	"310205006"	"453801012"	"31"	"5997721000006111"
"^ESCTPR599773"	NA	"private nursing home"	"310206007"	"453802017"	"31"	"5997731000006114"
"^ESCTPR805387"	NA	"provision of nursing home care"	"193081000000106"	"287631000000111"	"31"	"8053871000006115"
"^ESCTPR805389"	NA	"provision of intermediate care in care home or hospital"	"193101000000100"	"287671000000113"	"31"	"8053891000006119"
"^ESCTRE538621"	NA	"residential home"	"257688003"	"383590016"	"31"	"5386211000006116"
"^ESCTRE822019"	NA	"residential care"	"719101000000105"	"1576961000000110"	"31"	"8220191000006110"
"^ESCTRE823390"	NA	"residential home acquired pressure ulcer"	"758831000000108"	"1673241000000119"	"32"	"8233901000006112"
"^ESCTRE828023"	NA	"referred by nursing home"	"838691000000105"	"2176691000000119"	"31"	"8280231000006113"
