"medcodeid"	"originalreadcode"	"cleansedreadcode"	"term"	"snomedctconceptid"	"snomedctdescriptionid"	"emiscodecategoryid"
"259050010"	"44J30"	"44J3000"	"serum creatinine abnormal"	"166714005"	"259050010"	"34"
"259051014"	"44J31"	"44J3100"	"serum creatinine low"	"166715006"	"259051014"	"34"
"259052019"	"44J32"	"44J3200"	"serum creatinine normal"	"166716007"	"259052019"	"34"
"259053012"	"44J33"	"44J3300"	"serum creatinine raised"	"166717003"	"259053012"	"34"
"259054018"	"44J3z"	"44J3z00"	"serum creatinine nos"	"1000731000000107"	"2577271000000111"	"34"
"380389013"	"44J3"	"44J3.00"	"serum creatinine level"	"1000731000000107"	"2577271000000111"	"34"
"457927010"	"44JD"	"44JD.00"	"corrected serum creatinine level"	"1000991000000106"	"2571851000000113"	"34"
"4217571000006110"	"^ESCTSE421757"	NA	"serum creatinine"	"113075003"	"380389013"	"31"
"6036411000006112"	"^ESCTCO603641"	NA	"corrected serum creatinine level"	"313822004"	"457927010"	"31"
"6277971000006118"	"^ESCTSE627797"	NA	"serum creatinine level - finding"	"365757006"	"489163014"	"31"
"6277981000006115"	"^ESCTSE627798"	NA	"serum creatinine level"	"365757006"	"489164015"	"31"
"15077311000006116"	"^ESCT1507731"	NA	"serum creatinine outside reference range"	"166714005"	"5148300019"	"34"
"15077321000006112"	"^ESCT1507732"	NA	"serum creatinine below reference range"	"166715006"	"5149029016"	"34"
"15077331000006110"	"^ESCT1507733"	NA	"serum creatinine within reference range"	"166716007"	"5145450014"	"34"
"15077341000006117"	"^ESCT1507734"	NA	"serum creatinine above reference range"	"166717003"	"5150130014"	"34"
