"medcodeid"	"incident"	"prevalent"	"originalreadcode"	"cleansedreadcode"	"term"	"snomedctconceptid"	"snomedctdescriptionid"	"emiscodecategoryid"
"5054271000006111"	"1"	"1"	"^ESCTPU505427"	NA	"pulmonary emphysema in alpha-1 pi deficiency"	"233674008"	"350142010"	"32"
"1811661000006110"	"0"	"1"	"661M3"	"661M300"	"chronic obstructive pulmonary disease self-management plan agreed"	"811961000000106"	"2117851000000118"	"1"
"1811741000006117"	"0"	"1"	"661N3"	"661N300"	"chronic obstructive pulmonary disease self-management plan review"	"810951000000101"	"2115731000000110"	"1"
"264537018"	"1"	"1"	"663K"	"663K.00"	"airways obstruction irreversible"	"170628003"	"1489743015"	"1"
"839001000006111"	"0"	"1"	"66YI"	"66YI.00"	"copd self-management plan given"	"390891009"	"1484924013"	"1"
"977911000006114"	"0"	"1"	"66Yf"	"66Yf.00"	"number of chronic obstructive pulmonary disease exacerbations in past year"	"723245007"	"3335171010"	"1"
"405121000000111"	"1"	"1"	"679V"	"679V.00"	"education about chronic obstructive pulmonary disease"	"741056003"	"3543021016"	"17"
"966841000006111"	"0"	"1"	"8CR1"	"8CR1.00"	"chronic obstructive pulmonary disease clinical management plan"	"736283006"	"3517019016"	"32"
"301441014"	"1"	"1"	"H30z"	"H30z.00"	"bronchitis nos"	"32398004"	"54101019"	"32"
"301444018"	"1"	"1"	"H310z"	"H310z00"	"simple chronic bronchitis nos"	"61937009"	"102938011"	"32"
"123588010"	"1"	"1"	"H311"	"H311.00"	"mucopurulent chronic bronchitis"	"74417001"	"123588010"	"32"
"301448015"	"1"	"1"	"H311z"	"H311z00"	"mucopurulent chronic bronchitis nos"	"74417001"	"123588010"	"32"
"301477019"	"1"	"1"	"H32z"	"H32z.00"	"emphysema nos"	"87433001"	"144964015"	"32"
"1948051000006112"	"1"	"1"	"H3B"	"H3B..00"	"asthma-chronic obstructive pulmonary disease overlap syndrome"	"10692761000119107"	"3046456013"	"32"
"555461000006119"	"1"	"1"	"H3y0"	"H3y0.00"	"chronic obstructive pulmonary disease with acute lower respiratory infection"	"196001008"	"301542016"	"32"
"105519017"	"1"	"1"	"H31"	"H31..00"	"chronic bronchitis"	"63480004"	"105519017"	"32"
"113497011"	"1"	"1"	"H322"	"H322.00"	"centrilobular emphysema"	"68328006"	"113497011"	"32"
"1222334016"	"1"	"1"	"H3y-1"	"H3y..11"	"other specified chronic obstructive pulmonary disease"	"13645005"	"475431013"	"32"
"1222335015"	"1"	"1"	"H3z-1"	"H3z..11"	"chronic obstructive pulmonary disease nos"	"13645005"	"475431013"	"32"
"1484924013"	"0"	"1"	"66YB"	"66YB.00"	"chronic obstructive pulmonary disease monitoring"	"390891009"	"1484924013"	"1"
"1484971019"	"0"	"1"	"66YD"	"66YD.00"	"chronic obstructive pulmonary disease monitoring due"	"390941006"	"1484971019"	"1"
"1488423019"	"0"	"1"	"66YL"	"66YL.00"	"chronic obstructive pulmonary disease follow-up"	"394702007"	"1488423019"	"1"
"1488424013"	"0"	"1"	"66YM"	"66YM.00"	"chronic obstructive pulmonary disease annual review"	"394703002"	"1488424013"	"1"
"1494601017"	"0"	"1"	"66YL-2"	"66YL.12"	"coad follow-up"	"394702007"	"1494601017"	"1"
"1683181000000112"	"0"	"1"	"66YB0"	"66YB000"	"chronic obstructive pulmonary disease 3 monthly review"	"760601000000107"	"1683181000000112"	"1"
"1683221000000119"	"0"	"1"	"66YB1"	"66YB100"	"chronic obstructive pulmonary disease 6 monthly review"	"760621000000103"	"1683221000000119"	"1"
"1771201000006116"	"0"	"1"	"EMISNQCH80"	NA	"chronic obstructive pulmonary disease multidisciplinary review"	"1771201000006100"	"1771201000006116"	"1"
"1780380013"	"0"	"1"	"66YS"	"66YS.00"	"chronic obstructive pulmonary disease monitoring by nurse"	"401184000"	"1780380013"	"1"
"1780381012"	"0"	"1"	"66YT"	"66YT.00"	"chronic obstructive pulmonary disease monitoring by doctor"	"401185004"	"1780381012"	"1"
"1813871000006117"	"1"	"1"	"9NgP"	"9NgP.00"	"on chronic obstructive pulmonary disease supportive care pathway"	"826111000000109"	"2149041000000110"	"37"
"1813881000006119"	"1"	"1"	"9NgP-1"	"9NgP.11"	"on copd (chronic obstructive pulmonary disease) supportive care pathway"	"826111000000109"	"2155811000000119"	"37"
"1823851000006119"	"1"	"1"	"EMISNQCH102"	NA	"chronic obstructive pulmonary disease confirmed"	"1823851000006103"	"1823851000006119"	"27"
"1856491000006119"	"0"	"1"	"EMISNQCH158"	NA	"chronic obstructive pulmonary disease monitoring in primary care"	"1856491000006103"	"1856491000006119"	"37"
"1856501000006110"	"0"	"1"	"EMISNQCH159"	NA	"chronic obstructive pulmonary disease monitoring secondary care"	"1856501000006106"	"1856501000006110"	"37"
"1856581000006118"	"0"	"1"	"EMISNQCH161"	NA	"chronic obstructive pulmonary disease monitoring default"	"1856581000006102"	"1856581000006118"	"37"
"1856591000006115"	"0"	"1"	"EMISNQCH162"	NA	"chronic obstructive pulmonary disease follow-up assessment"	"1856591000006104"	"1856591000006115"	"1"
"1882371000006118"	"0"	"1"	"EMISNQSH45"	NA	"shared care chronic obstructive pulmonary disease monitoring"	"1882371000006102"	"1882371000006118"	"37"
"1882371000006118"	"0"	"1"	"EMISNQSH45"	NA	"shared care chronic obstructive pulmonary disease monitoring"	"1882371000006102"	"1882371000006118"	"37"
"189761000000117"	"0"	"1"	"9Oi0"	"9Oi0.00"	"chronic obstructive pulmonary disease monitoring first letter"	"716241000000106"	"1568801000000112"	"37"
"198471000000111"	"0"	"1"	"9Oi1"	"9Oi1.00"	"chronic obstructive pulmonary disease monitoring second letter"	"717021000000106"	"1569571000000113"	"37"
