"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"emiscodecategoryid"
"h/o: dementia"	"251625013"	"1461"	"1461.00"	"161465002"	"251625013"	"32"
"prion protein markers for creutzfeldt-jakob disease"	"399481000000113"	"4L49"	"4L49.00"	"1018591000000102"	"2583551000000117"	"3"
"dementia annual review"	"408401000000119"	"6AB"	"6AB..00"	"249181000000100"	"408401000000119"	"1"
"dementia medication review"	"1916981000006111"	"EMISNQDE54"	NA	"1916981000006107"	"1916981000006111"	"32"
"dementia medication review"	"2403101000000116"	"8BM02"	"8BM0200"	"938551000000108"	"2403101000000116"	"32"
"shared care prescribing of drug for dementia"	"2620431000000115"	"8BM50"	NA	"719787003"	"3317833010"	"32"
"antipsychotic drug therapy for dementia"	"2290431000000110"	"8BPa"	"8BPa.00"	"700214004"	"2989656010"	"32"
"review of dementia advance care plan"	"2345931000000111"	"8CMG2"	"8CMG200"	"956861000000107"	"2439631000000113"	"32"
"review of dementia advance care plan"	"2742991000000115"	"^ESCT1172376"	NA	"1095111000000108"	"2742991000000115"	"32"
"dementia care plan"	"2248021000000110"	"8CMZ"	"8CMZ.00"	"736371006"	"3517265010"	"32"
"dementia care plan"	"11930781000006119"	"^ESCT1193078"	NA	"869791000000101"	"2248021000000110"	"31"
"dementia care plan agreed"	"2439591000000113"	"8CMZ0"	"8CMZ000"	"956841000000106"	"2439591000000113"	"32"
"dementia care plan reviewed"	"2439631000000113"	"8CMZ1"	"8CMZ100"	"956861000000107"	"2439631000000113"	"32"
"dementia care plan declined"	"2439671000000110"	"8CMZ2"	"8CMZ200"	"956881000000103"	"2439671000000110"	"32"
"dementia care plan review declined"	"2439711000000111"	"8CMZ3"	"8CMZ300"	"956901000000100"	"2439711000000111"	"32"
"dementia advance care plan"	"2445471000000112"	"8CMe0"	"8CMe000"	"959361000000105"	"2445471000000112"	"32"
"dementia advance care plan agreed"	"2345881000000115"	"8CSA"	"8CSA.00"	"1095121000000102"	"2743011000000119"	"32"
"dementia advance care plan agreed"	"2743011000000119"	"^ESCT1172377"	NA	"1095121000000102"	"2743011000000119"	"32"
"dementia advance care plan declined"	"2345801000000113"	"8IAe0"	"8IAe000"	"956881000000103"	"2439671000000110"	"32"
"dementia advance care plan review declined"	"2445691000000113"	"8IAe2"	"8IAe200"	"959461000000102"	"2445691000000113"	"32"
"jakob-creutzfeldt disease"	"2386018"	"A411"	"A411.00"	"792004"	"2386018"	"32"
"sporadic creutzfeldt-jakob disease"	"2366171000000112"	"A4110"	"A411000"	"713060000"	"3287830019"	"32"
"sporadic cjd (creutzfeldt-jakob disease)"	"2366181000000114"	"A4110-1"	"A411011"	"713060000"	"3287830019"	"32"
"progressive multifocal leucoencephalopathy"	"481281019"	"A413"	"A413.00"	"22255007"	"481281019"	"32"
"pml - progressive multifocal leukoencephalopathy"	"37365019"	"A413-1"	"A413.11"	"22255007"	"481280018"	"32"
"niemann-pick disease"	"97154016"	"C3272"	"C327200"	"58459009"	"97154016"	"32"
"senile and presenile organic psychotic conditions"	"401757012"	"E00"	"E00..00"	"268612007"	"401757012"	"32"
"senile dementia"	"26545010"	"E00-1"	"E00..11"	"15662003"	"26545010"	"32"
"senile/presenile dementia"	"148381000006115"	"E00-2"	"E00..12"	"52448006"	"87274019"	"32"
"dementia"	"359241000006119"	"Eu02z"	"Eu02z00"	"52448006"	"87274019"	"32"
"dementia"	"882171000006115"	"E00-97"	"E00..97"	"268612007"	"882171000006115"	"32"
