"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"release"	"emiscodecategoryid"
"Diabetic peripheral angiopathy"	"302011"	"G73y0"	"G73y000"	"127014009"	"302011"	""	32
"Diabetic retinopathy"	"9093013"	"F420"	"F420.00"	"4855003"	"9093013"	""	32
"Brittle diabetes"	"19931010"	"66AJ1"	"66AJ100"	"11530004"	"19931010"	""	27
"Diabetic amyotrophy"	"65526011"	"F3813-1"	"F381311"	"39058009"	"65526011"	""	32
"Diabetic amyotrophy"	"616921000006113"	"C106-1"	"C106.11"	"39058009"	"65526011"	""	32
"Diabetic cataract"	"73294018"	"F4640"	"F464000"	"43959009"	"73294018"	""	32
"Non-insulin dependent diabetes mellitus"	"73466011"	"C1001-2"	"C100112"	"44054006"	"493773010"	""	32
"Non-insulin dependent diabetes mellitus"	"280571000006116"	"C109"	"C109.00"	"44054006"	"493773010"	""	32
"Diabetic polyneuropathy"	"82373015"	"F372-1"	"F372.11"	"49455004"	"82373015"	""	32
"Proliferative diabetic retinopathy"	"98476015"	"F4201"	"F420100"	"59276001"	"98476015"	""	32
"Diabetes mellitus"	"121589010"	"C10"	"C10..00"	"73211009"	"121589010"	""	32
"Iatrogenic hyperinsulinism"	"149278011"	"C1100"	"C110000"	"90054000"	"1217072011"	""	32
"Iatrogenic hyperinsulinism"	"3963911000006115"	"^ESCTIA396391"	""	"90054000"	"149278011"	""	32
"Insulin coma"	"178800012"	"C110-1"	"C110.11"	"111558006"	"178800012"	""	32
"Type 2 diabetes mellitus"	"197761014"	"C10F"	"C10F.00"	"44054006"	"197761014"	""	32
"Type 2 diabetes mellitus"	"84471000006119"	"C109-2"	"C109.12"	"44054006"	"197761014"	""	32
"Type 1 diabetes mellitus"	"197984010"	"C10E"	"C10E.00"	"46635009"	"197984010"	""	32
"Type 1 diabetes mellitus"	"84281000006115"	"C108-2"	"C108.12"	"46635009"	"197984010"	""	32
"Diabetic nephropathy"	"205225016"	"C104-1"	"C104.11"	"127013003"	"205225016"	""	32
"Diabetes care by hospital only"	"216195015"	"66AU"	"66AU.00"	"243860001"	"364695019"	""	1
"Diabetic diet"	"250447011"	"13B1"	"13B1.00"	"160670007"	"250447011"	""	17
"Glucose tolerance test indicates diabetes mellitus"	"259365016"	"44V3"	"44V3.00"	"166928007"	"2817641015"	""	34
"Diabetic monitoring"	"264676010"	"66A"	"66A..00"	"170742000"	"264676010"	""	1
"Initial diabetic assessment"	"264677018"	"66A1"	"66A1.00"	"170743005"	"264677018"	""	1
"Follow-up diabetic assessment"	"264678011"	"66A2"	"66A2.00"	"170744004"	"264678011"	""	1
"Diabetic on diet only"	"264679015"	"66A3"	"66A3.00"	"170745003"	"264679015"	""	1
"Diabetic on oral treatment"	"264681018"	"66A4"	"66A4.00"	"170746002"	"264681018"	""	1
"Diabetic on insulin"	"264682013"	"66A5"	"66A5.00"	"170747006"	"264682013"	""	1
