medcodeid	originalreadcode	readcode	term	snomedctconceptid	snomedctdescriptionid	eth16	eth5
6846371000006111	^ESCTCA684637	NA	Caucasian	413773004	2533842018	1. British	0. White
1564391000006113	EMISNQBR12	NA	British	1564391000006109	1564391000006113	1. British	0. White
196641000006110	134B	134B.00	Caucasian race	413773004	2537215011	1. British	0. White
285925010	9S1	9S1..00	White	185984009	285925010	1. British	0. White
459726019	9S10	9S10.00	White British	315236000	459726019	1. British	0. White
1780407014	9S13	9S13.00	White Scottish	401213008	1780407014	1. British	0. White
1780408016	9S14	9S14.00	Other white British ethnic group	401214002	1780408016	1. British	0. White
158341000000117	9i0	9i0..00	British or mixed British - ethnic category 2001 census	92391000000108	158341000000117	1. British	0. White
1063981000000117	9i00	9i00.00	White British - ethnic category 2001 census	494131000000105	1063981000000117	1. British	0. White
157281000000117	9i20	9i20.00	English - ethnic category 2001 census	110761000000106	157281000000117	1. British	0. White
141431000000111	9i21	9i21.00	Scottish - ethnic category 2001 census	92541000000108	141431000000111	1. British	0. White
141441000000119	9i22	9i22.00	Welsh - ethnic category 2001 census	92551000000106	141441000000119	1. British	0. White
141461000000118	9i23	9i23.00	Cornish - ethnic category 2001 census	92571000000102	141461000000118	1. British	0. White
141451000000116	9i24	9i24.00	Northern Irish - ethnic category 2001 census	92561000000109	141451000000116	1. British	0. White
142691000000116	9i25	9i25.00	Ulster Scots - ethnic category 2001 census	93921000000101	142691000000116	1. British	0. White
1968051000006116	9t00	9t00.00	White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census	976631000000101	2484631000000115	1. British	0. White
2486161000000112	9t10	9t10.00	White - Northern Ireland ethnic category 2011 census	977351000000100	2486161000000112	1. British	0. White
2487281000000112	9t20	9t20.00	White: Scottish - Scotland ethnic category 2011 census	977911000000103	2487281000000112	1. British	0. White
2487321000000116	9t21	9t21.00	White: other British - Scotland ethnic category 2011 census	977931000000106	2487321000000116	1. British	0. White
1564961000006118	EMISNQIR3	NA	Irish	1564961000006102	1564961000006118	2. Irish	0. White
459727011	9S11	9S11.00	White Irish	315237009	459727011	2. Irish	0. White
285978014	9SA9	9SA9.00	Irish (NMO)	186014006	285978014	2. Irish	0. White
141301000000110	9i1	9i1..00	Irish - ethnic category 2001 census	92401000000106	141301000000110	2. Irish	0. White
1064041000000111	9i10	9i10.00	White Irish - ethnic category 2001 census	494161000000100	1064041000000111	2. Irish	0. White
2484671000000118	9t01	9t01.00	White: Irish - England and Wales ethnic category 2011 census	976651000000108	2484671000000118	2. Irish	0. White
2487361000000112	9t22	9t22.00	White: Irish - Scotland ethnic category 2011 census	977951000000104	2487361000000112	2. Irish	0. White
2645811000000115	9TC	NA	Roma ethnic group	718958002	2678971000000113	3. Other White	0. White
713341000000111	13y6	13y6.00	British Israelite	368051000000100	713341000000111	3. Other White	0. White
459728018	9S12	9S12.00	White - ethnic group	185984009	285926011	3. Other White	0. White
405070017	9SAA	9SAA.00	Greek/Greek Cypriot (NMO)	270466006	405070017	3. Other White	0. White
411594011	9SAA-1	9SAA.11	Greek (NMO)	275599007	411594011	3. Other White	0. White
411595012	9SAA-2	9SAA.12	Greek Cypriot (NMO)	275600005	411595012	3. Other White	0. White
405071018	9SAB	9SAB.00	Turkish/Turkish Cypriot (NMO)	270467002	405071018	3. Other White	0. White
411596013	9SAB-1	9SAB.11	Turkish (NMO)	275601009	411596013	3. Other White	0. White
411597016	9SAB-2	9SAB.12	Turkish Cypriot (NMO)	275602002	411597016	3. Other White	0. White
285987017	9SAC	9SAC.00	Other European (NMO)	186017004	285987017	3. Other White	0. White
459786016	9SI	9SI..00	Irish traveller	315283003	459786016	3. Other White	0. White
286007012	9T11	9T11.00	New Zealand European	186036009	286007012	3. Other White	0. White
286008019	9T11-1	9T11.11	Pakeha	186036009	286008019	3. Other White	0. White
286009010	9T12	9T12.00	Other European in New Zealand	186037000	286009010	3. Other White	0. White
1158211000000111	9T4	9T4..00	Romanian	445343003	2872780011	3. Other White	0. White
1158301000000115	9T5	9T5..00	Bulgarian	29343004	1158301000000115	3. Other White	0. White
1160331000000119	9T6	9T6..00	Czech	286009	3314518019	3. Other White	0. White
1551471000000116	9T7	9T7..00	Slovak	36329002	3314524013	3. Other White	0. White
133078012	9T8	9T8..00	Portuguese	80208004	133078012	3. Other White	0. White
141311000000112	9i2	9i2..00	Other White background - ethnic category 2001 census	92411000000108	141311000000112	3. Other White	0. White
141661000000115	9i26	9i26.00	Cypriot (part not stated) - ethnic category 2001 census	92791000000109	141661000000115	3. Other White	0. White
142701000000116	9i27	9i27.00	Greek - ethnic category 2001 census	93931000000104	142701000000116	3. Other White	0. White
142711000000119	9i28	9i28.00	Greek Cypriot - ethnic category 2001 census	93941000000108	142711000000119	3. Other White	0. White
156921000000110	9i29	9i29.00	Turkish - ethnic category 2001 census	110401000000103	156921000000110	3. Other White	0. White
142721000000113	9i2A	9i2A.00	Turkish Cypriot - ethnic category 2001 census	93951000000106	142721000000113	3. Other White	0. White
158481000000115	9i2B	9i2B.00	Italian - ethnic category 2001 census	93961000000109	158481000000115	3. Other White	0. White
138171000000114	9i2C	9i2C.00	Irish Traveller - ethnic category 2001 census	88911000000101	138171000000114	3. Other White	0. White
