medcodeid	snomedctconceptid	term	given	given_lag	neutral	declined	adv_reac	remove
1083281000006116	1083281000006100	"Adverse reaction to Inactivated Influenza Vaccine, Surface Antigen"					1	
1111861000006115	1111861000006104	Adverse reaction to Influvac Sub-Unit					1	
1131081000006113	1131081000006109	Adverse reaction to Inactivated Influenza Vaccine					1	
1158771000000112	518961000000102	Consent given for influenza A subtype H1N1 vaccination			1			
11888611000006116	3255011000001100	Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Mylan)	1					
11934951000006116	11934951000006100	Administration of second non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination	1					
11934971000006114	11934971000006105	First quadrivalent (QIV) inactivated seasonal influenza vaccination given by pharmacist		1				
11934981000006112	11934981000006108	First non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by pharmacist		1				
11935071000006114	11935071000006105	Administration of second quadrivalent (QIV) inactivated seasonal influenza vaccination given by other healthcare provider		1				
11935081000006112	11935081000006108	Adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination given by pharmacist		1				
11935091000006110	11935091000006106	Administration of second non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by other healthcare provider		1				
11935101000006116	11935101000006100	Second quadrivalent (QIV) inactivated seasonal influenza vaccination given by pharmacist		1				
11935111000006118	11935111000006102	Administration of second quadrivalent (QIV) inactivated seasonal influenza vaccination	1					
11966331000006114	11966331000006105	Adverse reaction to Fluad					1	
1227545013	1411000119106	[v]flu - influenza vaccination			1			
13073251000006112	13073251000006108	Adverse reaction to Fluad Tetra					1	
13484371000006112	787016008	Administration of influenza vaccine via nasal route	1					
13973441000006116	871768005	Influenza vaccine in nasal dose form			1			
14061561000006116	86198006	Administration of influenza vaccine	1					
14083711000006110	420113004	Adverse reaction to influenza virus vaccine					1	
14126661000006110	37547211000001103	"Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"	1					
14198371000006116	294647003	Allergy to influenza vaccine					1	
142934010	86198006	Influenza vaccination			1			
1484830012	390796006	Influenza vaccination contraindicated				1		
1551781000000113	710151000000101	Did not attend influenza A virus subtype H1N1 vaccination				1		
1566931000006119	1566931000006103	"Adverse reaction to Inactivated Influenza Vaccine, Surface Antigen, Virosome"					1	
1660601000000116	698950001	Influenza A virus subtype H1N1 vaccination declined				1		
1700971000006119	380741000000101	First pandemic influenza vaccination given by other healthcare provider		1				
1700981000006116	380771000000107	Second pandemic influenza vaccination given by other healthcare provider		1				
17111000000119	714801000000104	Influenza vaccination administration	1					
17131000000110	714801000000104	Flu vaccination administration	1					
17151000000115	714801000000104	Influenza vacc.administrat.NOS	1					
1724231000006113	515291000000105	CELVAPAN - first influenza A (H1N1v) 2009 vaccination given	1					
1724241000006115	515321000000100	CELVAPAN - second influenza A (H1N1v) 2009 vaccination given	1					
1724251000006118	515331000000103	CELVAPAN - first influenza A (H1N1v) 2009 vaccination given by other healthcare provider		1				
1724261000006116	515351000000105	CELVAPAN - second influenza A (H1N1v) 2009 vaccination given by other healthcare provider		1				
1724271000006111	515281000000108	PANDEMRIX - first influenza A (H1N1v) 2009 vaccination given	1					
1724281000006114	515301000000109	PANDEMRIX - second influenza A (H1N1v) 2009 vaccination given	1					
1724291000006112	515341000000107	PANDEMRIX - first influenza A (H1N1v) 2009 vaccination given by other healthcare provider		1				
1724301000006113	515361000000108	PANDEMRIX - second influenza A (H1N1v) 2009 vaccination given by other healthcare provider		1				
