"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"emiscodecategoryid"
"lives alone"	"291148014"	"1B1K-2"	"1B1K.12"	"105529008"	"291148014"	"17"
"lives alone"	"852841000006110"	"C100000066"	NA	"852841000006106"	"852841000006110"	"27"
"lives alone"	"1939021000006111"	"13Fc"	"13Fc.00"	"105529008"	"291148014"	"17"
"lives alone - help available"	"250547013"	"13F2"	"13F2.00"	"160725005"	"250547013"	"17"
"lives alone -no help available"	"250548015"	"13F3"	"13F3.00"	"160726006"	"250548015"	"17"
"lives alone needs housekeeper"	"250549011"	"13F31"	"13F3100"	"160727002"	"250549011"	"17"
"independent housing, lives alone"	"216617011"	"13FJ"	"13FJ.00"	"135852002"	"216617011"	"17"
"[v]person living alone"	"460970010"	"ZV603"	"ZV60300"	"105529008"	"291148014"	"17"
"lives alone no help available"	"13788921000006113"	"^ESCT1378892"	NA	"160726006"	"3728389015"	"17"
"lives alone: supported individual living"	"1009761000006119"	"EMISNQLI12"	NA	"1009761000006103"	"1009761000006119"	"17"
