"medcodeid"	"originalreadcode"	"cleansedreadcode"	"term"	"snomedctconceptid"	"snomedctdescriptionid"
"1452014"	"1BH0"	"1BH0.00"	"delusion of persecution"	"216004"	"1452014"
"4569010"	"1BH-1"	"1BH..11"	"delusion"	"2073000"	"4569010"
"9225016"	"E1005"	"E100500"	"schizophrenia in remission"	"4926007"	"9225016"
"10122017"	"E13y1"	"E13y100"	"brief reactive psychosis"	"5464005"	"10122017"
"23211011"	"E210"	"E210.00"	"paranoid personality disorder"	"13601005"	"23211011"
"28758018"	"E1001"	"E100100"	"subchronic schizophrenia"	"16990005"	"28758018"
"43595011"	"E106"	"E106.00"	"residual schizophrenia"	"26025008"	"43595011"
"52897013"	"E1032"	"E103200"	"chronic paranoid schizophrenia"	"31658008"	"52897013"
"71539017"	"E1021"	"E102100"	"subchronic catatonic schizophrenia"	"42868002"	"71539017"
"105029017"	"E1035"	"E103500"	"paranoid schizophrenia in remission"	"63181006"	"105029017"
"107878010"	"E103"	"E103.00"	"paranoid schizophrenia"	"64905009"	"107878010"
"114616017"	"E1022"	"E102200"	"chronic catatonic schizophrenia"	"68995007"	"114616017"
"119579013"	"E141"	"E141.00"	"disintegrative psychosis"	"71961003"	"119579013"
"132503015"	"E1031"	"E103100"	"subchronic paranoid schizophrenia"	"79866005"	"132503015"
"178723016"	"E1025"	"E102500"	"catatonic schizophrenia in remission"	"111483008"	"178723016"
"251188012"	"13Y2"	"13Y2.00"	"schizophrenia association member"	"161103001"	"251188012"
"251190013"	"13Y3"	"13Y3.00"	"manic-depression association member"	"161104007"	"251190013"
"251628010"	"1464"	"1464.00"	"h/o: schizophrenia"	"161468000"	"251628010"
"294660013"	"E00z"	"E00z.00"	"senile or presenile psychoses nos"	"268612007"	"401757012"
"294725013"	"E10"	"E10..00"	"schizophrenic disorders"	"191526005"	"294725013"
"294726014"	"E100-1"	"E100.11"	"schizophrenia simplex"	"191527001"	"294726014"
"294727017"	"E100"	"E100.00"	"simple schizophrenia"	"191527001"	"294727017"
"294728010"	"E1000"	"E100000"	"unspecified schizophrenia"	"58214004"	"96745016"
"294730012"	"E1003"	"E100300"	"acute exacerbation of subchronic schizophrenia"	"111482003"	"178722014"
"294731011"	"E1004"	"E100400"	"acute exacerbation of chronic schizophrenia"	"191531007"	"294731011"
"294734015"	"E100z"	"E100z00"	"simple schizophrenia nos"	"191527001"	"294727017"
"294735019"	"E1010"	"E101000"	"unspecified hebephrenic schizophrenia"	"35252006"	"2881679010"
"294736018"	"E1011"	"E101100"	"subchronic hebephrenic schizophrenia"	"27387000"	"3425705018"
"294737010"	"E1012"	"E101200"	"chronic hebephrenic schizophrenia"	"12939007"	"3425737017"
"294738017"	"E1013"	"E101300"	"acute exacerbation of subchronic hebephrenic schizophrenia"	"14291003"	"3654249015"
"294739013"	"E1014"	"E101400"	"acute exacerbation of chronic hebephrenic schizophrenia"	"191539009"	"294739013"
"294740010"	"E1015"	"E101500"	"hebephrenic schizophrenia in remission"	"31373002"	"3425623018"
