"medcodeid"	"term"	"smokstatus"	"status"
"1009271000006118"	"non smoker - nos"	0	"non-smoker"
"102921000006112"	"tobacco smoking consumption"	1	"smoker or ex-smoker"
"102951000006115"	"tobacco dependence"	1	"smoker or ex-smoker"
"103051000006114"	"tobacco usage screen"	1	"smoker or ex-smoker"
"103061000006111"	"tobacco usage screening"	1	"smoker or ex-smoker"
"1059701000000119"	"ex roll-up cigarette smoker"	2	"smoker or ex-smoker"
"108938018"	"cigarette smoker"	1	"smoker or ex-smoker"
"1123541000000118"	"stop smoking face to face follow-up"	12	"smoker or ex-smoker"
"1123751000000113"	"non-smoker annual review - enhanced services administration"	0	"non-smoker"
"1123951000000110"	"ex-smoker annual review - enhanced services administration"	2	"smoker or ex-smoker"
"1125741000000111"	"brief intervention for smoking cessation"	12	"smoker or ex-smoker"
"1151791000000117"	"recently stopped smoking"	2	"smoker or ex-smoker"
"1152111000000118"	"current smoker annual review"	1	"smoker or ex-smoker"
"1154431000000112"	"non-smoker annual review"	0	"non-smoker"
"1154471000000114"	"ex-smoker annual review"	2	"smoker or ex-smoker"
"1175011000000112"	"smoking cessation programme declined"	1	"smoker or ex-smoker"
"1176421000000118"	"smoking cessation advice declined"	1	"smoker or ex-smoker"
"128130017"	"smoker"	1	"smoker or ex-smoker"
"128311000006112"	"stop smoking monitoring first letter"	12	"smoker or ex-smoker"
"128321000006116"	"stop smoking monitoring second letter"	12	"smoker or ex-smoker"
"128331000006118"	"stop smoking monitoring third letter"	12	"smoker or ex-smoker"
"128361000006110"	"stop smoking monitoring telephone invite"	12	"smoker or ex-smoker"
"128371000006115"	"stop smoking monitoring verbal invite"	12	"smoker or ex-smoker"
"128381000006117"	"stop smoking monitoring check done"	12	"smoker or ex-smoker"
"136515019"	"pipe smoker"	1	"smoker or ex-smoker"
"137711000006111"	"smoker (read codes)"	1	"smoker or ex-smoker"
"137721000006115"	"smoker - amount smoked"	1	"smoker or ex-smoker"
"137761000006114"	"smoking age ceased"	2	"smoker or ex-smoker"
"137771000006119"	"smoking age started"	1	"smoker or ex-smoker"
"137791000006118"	"smoking restarted"	1	"smoker or ex-smoker"
"1484932017"	"smoking cessation milestones"	2	"smoker or ex-smoker"
"1484933010"	"negotiated date for cessation of smoking"	1	"smoker or ex-smoker"
"1484937011"	"nicotine replacement therapy provided free"	12	"smoker or ex-smoker"
"14866014"	"non-smoker"	0	"non-smoker"
"1488576014"	"thinking about stopping smoking"	1	"smoker or ex-smoker"
"1488577017"	"ready to stop smoking"	1	"smoker or ex-smoker"
"1488578010"	"not interested in stopping smoking"	1	"smoker or ex-smoker"
"1488666019"	"no smokers in the household"	0	"non-smoker"
"1488870013"	"nicotine replacement therapy contraindicated"	12	"smoker or ex-smoker"
"1488871012"	"bupropion contraindicated"	12	"smoker or ex-smoker"
"1488872017"	"bupropion refused"	1	"smoker or ex-smoker"
"1488873010"	"smoking free weeks"	2	"smoker or ex-smoker"
"1489355012"	"referral to smoking cessation advisor"	12	"smoker or ex-smoker"
"150398019"	"nicotine withdrawal"	12	"smoker or ex-smoker"
"1563081000000115"	"practice based smoking cessation programme start date"	12	"smoker or ex-smoker"
"1591651000006110"	"smoking cessation referral declined"	1	"smoker or ex-smoker"
"1592611000000110"	"failed attempt to stop smoking"	1	"smoker or ex-smoker"
"16261000000110"	"stop smoking monitoring administration"	12	"smoker or ex-smoker"
"1626121000006116"	"smoking cessation drug therapy - varenicline"	12	"smoker or ex-smoker"
"1651711000000113"	"consent given for smoking cessation data sharing"	12	"smoker or ex-smoker"
"1653781000000119"	"declined consent for smoking cessation data sharing"	12	"smoker or ex-smoker"
"16588018"	"tobacco deposit on teeth"	12	"smoker or ex-smoker"
"1662911000000114"	"consent given for follow-up by smoking cessation team"	12	"smoker or ex-smoker"
"1662951000000113"	"declined consent for follow-up by smoking cessation team"	12	"smoker or ex-smoker"
"1676351000006110"	"nicotine replacement therapy using nicotine sublingual tablets"	12	"smoker or ex-smoker"
"1694421000006112"	"stop smoking monitoring admin."	12	"smoker or ex-smoker"
"1697731000006111"	"nicotine replacement therapy not tolerated"	12	"smoker or ex-smoker"
"1704491000006115"	"smoking cessation enhanced services administration monitoring template completed"	12	"smoker or ex-smoker"
"1704551000006110"	"referred for copd structured smoking assessment"	1	"smoker or ex-smoker"
"1704561000006112"	"referred for chronic obstructive pulmonary disease structured smoking assessment"	12	"smoker or ex-smoker"
"1704571000006117"	"chronic obstructive pulmonary disease structured smoking assessment declined"	12	"smoker or ex-smoker"
"1704581000006119"	"copd structured smoking assessment declined"	12	"smoker or ex-smoker"
"1709641000000115"	"referral for smoking cessation service offered"	1	"smoker or ex-smoker"
"1714541000006110"	"current smoker annual review - enhanced services admin"	1	"smoker or ex-smoker"
"1715591000006117"	"referral to national health service stop smoking service"	12	"smoker or ex-smoker"
"1716141000000117"	"lost to smoking cessation follow-up"	12	"smoker or ex-smoker"
"1739161000000118"	"asthma trigger - tobacco smoke"	1	"smoker or ex-smoker"
"1741641000006117"	"smoking cessation esa monitoring template completed"	12	"smoker or ex-smoker"
"1750931000000118"	"stop smoking service opportunity signposted"	1	"smoker or ex-smoker"
"1751721000000113"	"stop smoking invitation short message service text message"	12	"smoker or ex-smoker"
"1754091000000110"	"issue of nicotine replacement therapy voucher"	1	"smoker or ex-smoker"
"1755201000006117"	"consent given for follow-up evaluation after smoking cessation intervention"	12	"smoker or ex-smoker"
"1755231000006113"	"declined consent for follow-up evaluation after smoking cessation intervention"	12	"smoker or ex-smoker"
"1771191000006119"	"attends smoking cessation clinic not at practice"	12	"smoker or ex-smoker"
"1773560017"	"smoking cessation programme start date"	1	"smoker or ex-smoker"
"1777011000006118"	"reason for referral: smoking cessation"	12	"smoker or ex-smoker"
"1778181000006110"	"group session: stop smoking education programme"	12	"smoker or ex-smoker"
"1780273014"	"seen by smoking cessation advisor"	12	"smoker or ex-smoker"
"1780360012"	"reason for restarting smoking"	1	"smoker or ex-smoker"
"1780396011"	"cigarette pack-years"	12	"smoker or ex-smoker"
"1785671000006116"	"stop smoking invitation first short message service text message"	12	"smoker or ex-smoker"
"1785681000006118"	"stop smoking invitation second short message service text message"	12	"smoker or ex-smoker"
"1785691000006115"	"stop smoking invitation third short message service text message"	12	"smoker or ex-smoker"
"1809121000006113"	"waterpipe tobacco consumption"	1	"smoker or ex-smoker"
"1809131000006111"	"total time smoked"	12	"smoker or ex-smoker"
"1819411000006114"	"smoking increased"	1	"smoker or ex-smoker"
"1823811000006115"	"smoking cessation 12 week follow up"	12	"smoker or ex-smoker"
"1825071000006116"	"smoking cessation 12 week f/u not completed"	12	"smoker or ex-smoker"
"1825081000006118"	"smoking cessation 12 week f/u completed"	12	"smoker or ex-smoker"
"1833971000006116"	"stop smoking satisfaction questionnaire given"	12	"smoker or ex-smoker"
"1873511000006118"	"care contact service: smoking/substance cessation/interven prog."	1	"smoker or ex-smoker"
"1879431000006110"	"user of electronic cigarette"	1	"smoker or ex-smoker"
"1889671000006116"	"child 27-30 mth exam.- smoking cessation support provided"	1	"smoker or ex-smoker"
"1889681000006118"	"child 27-30 mth exam.- signpost to smoking cessation"	1	"smoker or ex-smoker"
"1889691000006115"	"child 27-30 mth exam. - discuss with smoking cessation service"	1	"smoker or ex-smoker"
"1889701000006115"	"child 27-30 mth exam. - requ. assist. from smoking cessation"	1	"smoker or ex-smoker"
"1889711000006117"	"child 27-30 mth exam. - refused smoking cessation service"	1	"smoker or ex-smoker"
"1925121000006113"	"issue of nicotine replacement therapy voucher"	1	"smoker or ex-smoker"
"1973821000006117"	"mental & behav dis due to use tobacco: acute intoxication, uncomplicated"	1	"smoker or ex-smoker"
"1973841000006112"	"mental & behav dis due to use tobacco: acute intoxication, with trauma or other bodily injury"	1	"smoker or ex-smoker"
"1973851000006114"	"mental & behav dis due to use tobacco: acute intoxication, with other medical complications"	1	"smoker or ex-smoker"
"1973921000006114"	"mental & behav dis due to use tobacco: acute intoxication, with delirium"	1	"smoker or ex-smoker"
"1973951000006117"	"mental & behav dis due to use tobacco: acute intoxication, with perceptual distortions"	1	"smoker or ex-smoker"
"1973981000006113"	"mental & behav dis due to use tobacco: acute intoxication, with coma"	1	"smoker or ex-smoker"
"1974031000006110"	"mental & behav dis due to use tobacco: acute intoxication, with convulsions"	1	"smoker or ex-smoker"
"1974281000006116"	"mental and behav dis due to use tobacco: dependence syndr, currently abstinent"	1	"smoker or ex-smoker"
"1974311000006119"	"mental and behav dis due to use tobacco: dependence syndr, currently abstinent, but in a protected environment"	1	"smoker or ex-smoker"
"1974341000006115"	"mental and behav dis due to use tobacco: dependence syndr, currently on a clinically supervised maintenance or replacement regime [controlled dependence]"	1	"smoker or ex-smoker"
"1974371000006111"	"mental and behav dis due to use tobacco: dependence syndr, currently abstinent, but receiving treatment with aversive or blocking drugs"	1	"smoker or ex-smoker"
"1974401000006114"	"mental and behav dis due to use tobacco: dependence syndr, currently using the substance [active dependence]"	1	"smoker or ex-smoker"
"1974421000006116"	"mental and behav dis due to use tobacco: dependence syndr, continuous use"	1	"smoker or ex-smoker"
"1974461000006110"	"mental and behav dis due to use tobacco: dependence syndr, episodic use [dipsomania]"	1	"smoker or ex-smoker"
"1974501000006110"	"mental and behav dis due to use tobacco: withdrawal state, uncomplicated"	1	"smoker or ex-smoker"
"1974531000006119"	"mental and behav dis due to use tobacco: withdrawal state, with convulsions"	1	"smoker or ex-smoker"
"1974571000006116"	"mental & behav dis due to tobacco: withdrawl state wth delirium, without convulsions"	1	"smoker or ex-smoker"
"1974581000006118"	"mental & behav dis due to tobacco: withdrawl state wth delirium, with convulsions"	1	"smoker or ex-smoker"
"1974651000006110"	"mental & behav dis due to use tobacco: psychotic disorder, schizophrenia-like"	1	"smoker or ex-smoker"
"1974681000006119"	"mental & behav dis due to use tobacco: psychotic disorder, predominantly delusional"	1	"smoker or ex-smoker"
"1974711000006118"	"mental & behav dis due to use tobacco: psychotic disorder, predominantly hallucinatory"	1	"smoker or ex-smoker"
"1974741000006119"	"mental & behav dis due to use tobacco: psychotic disorder, predominantly polymorphic"	1	"smoker or ex-smoker"
"1974761000006115"	"mental & behav dis due to use tobacco: psychotic disorder, predominantly depressive symptoms"	1	"smoker or ex-smoker"
"1974791000006111"	"mental & behav dis due to use tobacco: psychotic disorder, predominantly manic symptoms"	1	"smoker or ex-smoker"
"1974811000006110"	"mental & behav dis due to use tobacco: psychotic disorder, mixed"	1	"smoker or ex-smoker"
"1974841000006114"	"mental & behav dis due to tobacco: resid & late-onset psychot dis, flashbacks"	1	"smoker or ex-smoker"
"1974871000006118"	"mental & behav dis due to tobacco: resid & late-onset psychot dis, personality or behaviour disorder"	1	"smoker or ex-smoker"
"1974911000006115"	"mental & behav dis due to tobacco: resid & late-onset psychot dis, residual affective disorder"	1	"smoker or ex-smoker"
"1974931000006114"	"mental & behav dis due to tobacco: resid & late-onset psychot dis, dementia"	1	"smoker or ex-smoker"
"1974961000006117"	"mental & behav dis due to tobacco: resid & late-onset psychot dis, other persisting cognitive impairment"	1	"smoker or ex-smoker"
"1974981000006110"	"mental & behav dis due to tobacco: resid & late-onset psychot dis, late-onset psychotic disorder"	1	"smoker or ex-smoker"
"1979471000006116"	"nicotine replacement therapy using nicotine nasal spray"	1	"smoker or ex-smoker"
"1979481000006118"	"nicotine replacement therapy using nicotine mouth spray"	1	"smoker or ex-smoker"
"1979491000006115"	"smoking cessation follow-up"	12	"smoker or ex-smoker"
"2141561000000115"	"smoking cessation drug therapy declined"	1	"smoker or ex-smoker"
"216212011"	"smoking reduced"	1	"smoker or ex-smoker"
