"medcodeid"	"marker"	"site"	"hosp"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"emiscodecategoryid"	"term"
"1139221000000111"	"1"	"1"	"0"	"2Fa"	"2Fa..00"	"410500004"	"2472158013"	"27"	"hutchinson's sign - herpes zoster involving nose tip"
"1219080012"	"1"	"0"	"1"	"F0112-1"	"F011211"	"10491005"	"1219080012"	"32"	"herpes zoster meningitis"
"1229869010"	"1"	"2"	"0"	"A5321"	"A532100"	"42448002"	"1229869010"	"32"	"herpes zoster with keratoconjunctivitis"
"145090014"	"1"	"2"	"0"	"A5324"	"A532400"	"87513003"	"145090014"	"32"	"herpes zoster ophthalmicus"
"18244018"	"1"	"0"	"1"	"A530"	"A530.00"	"10491005"	"1219080012"	"32"	"herpes zoster with meningitis"
"18585010"	"1"	"2"	"0"	"A5322"	"A532200"	"10698009"	"18585010"	"32"	"herpes zoster iridocyclitis"
"191651000006117"	"1"	"1"	"0"	"A5311-1"	"A531111"	"21954000"	"2262131000000119"	"32"	"ramsay hunt syndrome"
"286714015"	"1"	"2"	"0"	"A532"	"A532.00"	"186524006"	"286714015"	"32"	"herpes zoster with ophthalmic complication"
"286715019"	"1"	"2"	"0"	"A5320"	"A532000"	"186525007"	"286715019"	"32"	"herpes zoster with dermatitis of eyelid"
"286717010"	"1"	"2"	"0"	"A532z"	"A532z00"	"186524006"	"286714015"	"32"	"herpes zoster with other ophthalmic complication"
"286718017"	"1"	"0"	"0"	"A53x"	"A53x.00"	"49183009"	"81926015"	"32"	"herpes zoster with complication"
"286721015"	"1"	"0"	"0"	"A53xz"	"A53xz00"	"49183009"	"81926015"	"32"	"herpes zoster with other specified complication nos"
"286722010"	"1"	"0"	"0"	"A53y"	"A53y.00"	"49183009"	"81927012"	"32"	"herpes zoster with unspecified complications"
"286723017"	"1"	"0"	"0"	"A53z"	"A53z.00"	"4740000"	"8902018"	"32"	"herpes zoster"
"288153012"	"1"	"0"	"0"	"AyuA4"	"AyuA400"	"4740000"	"8902018"	"32"	"[x]zoster with other complications"
"288154018"	"1"	"0"	"0"	"AyuA5"	"AyuA500"	"4740000"	"8902018"	"32"	"[x]zoster without complications"
"297557016"	"1"	"0"	"0"	"F3744"	"F374400"	"193190005"	"297557016"	"32"	"polyneuropathy in herpes zoster"
"344957015"	"1"	"0"	"1"	"A5314"	"A531400"	"230176008"	"344957015"	"32"	"zoster encephalitis"
"344958013"	"1"	"0"	"1"	"F0309-1"	"F030911"	"230176008"	"344958013"	"32"	"herpes zoster encephalitis"
"36819018"	"1"	"1"	"0"	"A5311"	"A531100"	"21954000"	"36819018"	"32"	"geniculate herpes zoster"
"395349015"	"1"	"0"	"1"	"A531"	"A531.00"	"111861003"	"179029018"	"32"	"herpes zoster with nervous system complication"
"44081000006115"	"1"	"2"	"0"	"A5323"	"A532300"	"87513003"	"145090014"	"32"	"ophthalmic herpes zoster infection"
"481174015"	"1"	"1"	"0"	"A53x0"	"A53x000"	"21954000"	"481174015"	"32"	"herpes zoster otitis externa"
"625341000006116"	"1"	"0"	"1"	"A53x1"	"A53x100"	"55560002"	"92352018"	"32"	"disseminated herpes zoster"
"640911000006110"	"1"	"0"	"1"	"F0309"	"F030900"	"230176008"	"344958013"	"32"	"encephalitis due to herpes zoster"
"706441000006117"	"1"	"0"	"1"	"F0112"	"F011200"	"10491005"	"18244018"	"32"	"herpes zoster with meningitis"
"778951000006117"	"1"	"1"	"0"	"F5016"	"F501600"	"21954000"	"36819018"	"32"	"infective otitis externa due to herpes zoster"
"822201000006110"	"1"	"1"	"0"	"F5016-1"	"F501611"	"21954000"	"481174015"	"32"	"herpes zoster - otitis externa"
"822321000006112"	"1"	"0"	"1"	"A531z"	"A531z00"	"111861003"	"179029018"	"32"	"herpes zoster with other cns complication nos"
"822331000006110"	"1"	"0"	"1"	"A5310"	"A531000"	"111861003"	"179029018"	"32"	"herpes zoster with other cns complications"
"879141000006110"	"1"	"2"	"0"	"A532-99"	"A532.99"	"186524006"	"879141000006110"	"32"	"ophthalmic herpes zoster"
"879151000006112"	"1"	"0"	"0"	"A53z-99"	"A53z.99"	"664671000000102"	"879151000006112"	"32"	"other herpes zoster"
"8902018"	"1"	"0"	"0"	"A53"	"A53..00"	"4740000"	"494820013"	"32"	"herpes zoster infection"
"8904017"	"1"	"0"	"0"	"A53-1"	"A53..11"	"4740000"	"8904017"	"32"	"shingles"
"905671000006114"	"1"	"0"	"0"	"HNG0041"	NA	"905671000006105"	"905671000006114"	"12"	"[rfc] shingles"
"905931000006117"	"1"	"0"	"0"	"HNG0060"	NA	"905931000006101"	"905931000006117"	"12"	"[rfc] shingles"
"988701000006119"	"1"	"2"	"0"	"A5323-99"	"A532399"	"87513003"	"988701000006119"	"32"	"ophthalmic herpes zoster"
