"medcodeid"	"originalreadcode"	"cleansedreadcode"	"term"	"Zostavax"	"Shingrix"	"Neutral"	"snomedctconceptid"	"snomedctdescriptionid"
"2223901000000112"	"65FY"	"65FY.00"	"Herpes zoster vaccination"	NA	NA	1	"859641000000109"	"2223901000000112"
"2229311000000111"	"65FY-1"	"65FY.11"	"Shingles vaccination"	NA	NA	1	"859641000000109"	"2229311000000111"
"1866901000006114"	"65FY0"	"65FY000"	"Herpes zoster vaccination given by other health care provider"	NA	NA	1	"868511000000106"	"2244701000000110"
"1841571000006112"	"EMISNQHE68"	NA	"Herpes zoster vaccination"	NA	NA	1	"1841571000006108"	"1841571000006112"
"11856511000006112"	"^ESCT1185651"	NA	"Administration of shingles vaccine"	NA	NA	1	"722215002"	"3635363010"
"13975271000006112"	"^ESCT1397527"	NA	"Live attenuated Varicella-zoster vaccination"	1	NA	NA	"871898007"	"3977532017"
"13975721000006117"	"^ESCT1397572"	NA	"Varicella-zoster vaccine"	NA	NA	1	"871919004"	"3977777017"
"14090611000006111"	"^ESCT1409061"	NA	"Administration of Varicella-zoster vaccine for shingles"	NA	NA	1	"722215002"	"3977808017"
"14176221000006119"	"^ESCT1417622"	NA	"Administration of first dose of Varicella-zoster vaccine for shingles"	NA	NA	1	"1326101000000105"	"2844681000000117"
"14176231000006116"	"^ESCT1417623"	NA	"Administration of first dose of vaccine product containing only Human alphaherpesvirus 3 antigen for shingles"	NA	NA	1	"1326101000000105"	"2844261000000112"
"14176251000006111"	"^ESCT1417625"	NA	"Administration of second dose of Varicella-zoster vaccine for shingles"	NA	1	NA	"1326111000000107"	"2844701000000115"
"14176261000006113"	"^ESCT1417626"	NA	"Administration of second dose of vaccine product containing only Human alphaherpesvirus 3 antigen for shingles"	NA	1	NA	"1326111000000107"	"2844291000000118"
"8033191000006113"	"^ESCTHE803319"	NA	"Herpes zoster vaccination given"	NA	NA	1	"105941000119105"	"3331184010"
"5426521000006113"	"^ESCTVA542652"	NA	"Varicella-zoster virus antigen"	NA	NA	1	"260214004"	"387733015"
"6751741000006110"	"^ESCTVA675174"	NA	"Varicella-zoster live attenuated vaccine"	1	NA	NA	"407746005"	"2159338015"
"13975231000006114"	"^ESCT1397523"	NA	"Administration of live attenuated Human alphaherpesvirus 3 vaccine"	1	NA	NA	"871898007"	"3977533010"
