"prodcodeid"	"termfromemis"	"cat"
"1043841000033118"	"Pasteur Merieux Inactivated Influenza  Vaccine  0.5 ml"	"old"
"10647441000033112"	"FluMist Quadrivalent vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)"	"old"
"12364041000033116"	"Quadrivalent influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi)"	"old"
"12593041000033119"	"Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"	"old"
"12598941000033114"	"Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)"	"old"
"12599041000033117"	"Influenza Tetra MYL vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)"	"old"
"12605941000033110"	"Influenza MYL vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)"	"old"
"12884141000033117"	"Flucelvax Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"	"old"
"13133041000033114"	"Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"	"old"
"2189441000033118"	"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)"	"old"
"2890941000033111"	"Mastaflu vaccine suspension for injection 0.5ml pre-filled syringes (Masta Ltd)"	"old"
"3347241000033118"	"Influenza vaccine (split virion, inactivated) suspension for injection 0.25ml pre-filled syringes"	"old"
"3954241000033115"	"Viroflu vaccine suspension for injection 0.5ml pre-filled syringes (Janssen-Cilag Ltd)"	"old"
"3954341000033113"	"Influenza vaccine (surface antigen, inactivated, virosome) suspension for injection 0.5ml pre-filled syringes"	"old"
"5093141000033117"	"Influenza vaccine (split virion, inactivated) 15microgram strain suspension for injection 0.1ml pre-filled syringes"	"old"
"5208541000033111"	"Pandemrix vaccine emulsion and suspension for emulsion for injection (GlaxoSmithKline UK Ltd)"	"old"
"5415841000033118"	"Influenza vaccine (split virion, inactivated) 9microgram strain suspension for injection 0.1ml pre-filled syringes"	"old"
"588341000033111"	"Fluvirin vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd)"	"old"
"596541000033119"	"Fluzone  Vaccine  0.5 ml"	"old"
"596641000033118"	"Fluarix vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd)"	"old"
"6453341000033116"	"Preflucel vaccine suspension for injection 0.5ml pre-filled syringes (Baxter Healthcare Ltd)"	"old"
"6494541000033116"	"Influenza vaccine (live attenuated) nasal suspension 0.2ml unit dose"	"old"
"6494641000033115"	"Fluenz vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)"	"old"
"759741000033113"	"Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)"	"old"
"762141000033114"	"Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes"	"old"
"770341000033117"	"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes"	"old"
"8123441000033119"	"Optaflu vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"	"old"
"8534741000033118"	"Influvac Desu vaccine suspension for injection 0.5ml pre-filled syringes (Abbott Healthcare Products Ltd)"	"old"
"8563041000033113"	"Fluarix Tetra vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd)"	"old"
"9306941000033116"	"Fluenz Tetra vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd)"	"old"
"9702041000033119"	"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd)"	"old"
