"prodcodeid"	"dmdid"	"termfromemis"	"productname"	"formulation"	"routeofadministration"	"drugsubstancename"	"substancestrength"	"bnfchapter"
"97241000033118"	"41759111000001102"	"azathioprine 50mg powder for solution for injection vials"	"azathioprine 50mg powder for solution for injection vials"	"Powder for solution for injection"	"Intravenous"	"azathioprine"	"50.000mg"	"08020100"
"98641000033119"	"41759011000001103"	"azathioprine 25mg tablets"	"azathioprine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"azathioprine"	"25.000mg"	"08020100"
"98741000033111"	"41759311000001100"	"azathioprine 50mg tablets"	"azathioprine 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"azathioprine"	"50.000mg"	"08020100"
"98841000033118"	NA	"azathioprine  tablets  10 mg"	NA	NA	NA	NA	NA	NA
"98941000033114"	NA	"azamune  tablets  50 mg"	NA	NA	NA	NA	NA	NA
"141241000033112"	NA	"berkaprine  tablets  50 mg"	NA	NA	NA	NA	NA	NA
"220041000033112"	"3659911000001102"	"cellcept 250mg capsules (roche products ltd)"	"cellcept 250mg capsules"	"Capsule/ Oral capsule"	"Oral"	"mycophenolate mofetil"	"250.000mg"	NA
"234041000033115"	"3661611000001102"	"cellcept 500mg tablets (roche products ltd)"	"cellcept 500mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"mycophenolate mofetil"	"500.000mg"	NA
"389641000033114"	NA	"cyclosporin  capsules  25 mg"	NA	NA	NA	NA	NA	NA
"391041000033115"	NA	"cyclosporin  intravenous infusion  50 mg/ml"	NA	NA	NA	NA	NA	NA
"470041000033110"	"98511000001108"	"distamine 125mg tablets (alliance pharmaceuticals ltd)"	"distamine 125mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"penicillamine"	"125.000mg"	NA
"470141000033114"	"13711000001108"	"distamine 250mg tablets (alliance pharmaceuticals ltd)"	"distamine 250mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"penicillamine"	"250.000mg"	NA
"752841000033111"	"906711000001106"	"imuran 50mg powder for solution for injection vials (aspen pharma trading ltd)"	"imuran 50mg powder for solution for injection vials"	"Powder for solution for injection"	"Intravenous"	"azathioprine"	"50.000mg"	NA
"754441000033119"	"675711000001108"	"imuran 50mg tablets (aspen pharma trading ltd)"	"imuran 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"azathioprine"	"50.000mg"	NA
"755241000033116"	NA	"imuran  tablets  10 mg"	NA	NA	NA	NA	NA	NA
"755441000033115"	"284711000001102"	"imuran 25mg tablets (aspen pharma trading ltd)"	"imuran 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"azathioprine"	"25.000mg"	NA
"755741000033110"	"318611000001108"	"immunoprin 50mg tablets (ashbourne pharmaceuticals ltd)"	"immunoprin 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"azathioprine"	"50.000mg"	NA
"860741000033110"	NA	"maxtrex  injection  2.5 mg"	NA	NA	NA	NA	NA	NA
"860841000033117"	NA	"maxtrex  injection  25 mg"	NA	NA	NA	NA	NA	NA
"870241000033113"	"322011000001106"	"maxtrex 10mg tablets (pfizer ltd)"	"maxtrex 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"methotrexate"	"10.000mg"	NA
