"prodcodeid"	"dmdid"	"termfromemis"	"productname"	"formulation"	"routeofadministration"	"drugsubstancename"	"substancestrength"	"equivalent prednisolone dose"
"2372541000033113"	NA	"*cortisone acetate  pills (sucrose)"	NA	NA	NA	NA	NA	"5"
"2372141000033116"	NA	"*cortisone acetate  tablets"	NA	NA	NA	NA	NA	"5"
"2509741000033117"	NA	"*prednisolone  pills (sucrose)"	NA	NA	NA	NA	NA	"1"
"2509341000033118"	NA	"*prednisolone  tablets"	NA	NA	NA	NA	NA	"1"
"16441000033119"	NA	"adcortyl  injection  10mg/ml"	NA	NA	NA	NA	NA	"0.8"
"3867441000033112"	"911211000001105"	"adcortyl intra-articular / intradermal 10mg/1ml suspension for injection ampoules (bristol-myers squibb pharmaceuticals ltd)"	"adcortyl intra-articular / intradermal 10mg/1ml suspension for injection ampoules"	"Suspension for injection"	"Intraarticular/ Intradermal"	"triamcinolone acetonide"	"10.000mg/1.000ml"	"0.8"
"3867541000033113"	"89311000001109"	"adcortyl intra-articular / intradermal 50mg/5ml suspension for injection vials (bristol-myers squibb pharmaceuticals ltd)"	"adcortyl intra-articular / intradermal 50mg/5ml suspension for injection vials"	"Suspension for injection"	"Intraarticular/ Intradermal"	"triamcinolone acetonide"	"10.000mg/1.000ml"	"0.8"
"12633641000033114"	"35699311000001104"	"alkindi 0.5mg granules in capsules for opening (diurnal ltd)"	"alkindi 0.5mg granules in capsules for opening"	"Granules/ Oral granules"	"Oral"	"hydrocortisone"	"500.000microgram"	"4"
"12633741000033117"	"35700011000001101"	"alkindi 1mg granules in capsules for opening (diurnal ltd)"	"alkindi 1mg granules in capsules for opening"	"Granules/ Oral granules"	"Oral"	"hydrocortisone"	"1.000mg"	"4"
"12633841000033110"	"35700311000001103"	"alkindi 2mg granules in capsules for opening (diurnal ltd)"	"alkindi 2mg granules in capsules for opening"	"Granules/ Oral granules"	"Oral"	"hydrocortisone"	"2.000mg"	"4"
"12633941000033119"	"35697611000001104"	"alkindi 5mg granules in capsules for opening (diurnal ltd)"	"alkindi 5mg granules in capsules for opening"	"Granules/ Oral granules"	"Oral"	"hydrocortisone"	"5.000mg"	"4"
"4214041000033115"	"11880411000001105"	"beclometasone 5mg gastro-resistant modified-release tablets"	"beclometasone 5mg gastro-resistant modified-release tablets"	"Modified-release tablet"	"Oral"	"beclometasone dipropionate"	"5.000mg"	"?"
"139741000033116"	NA	"beclomethasone dipropionate  suspension  50 micrograms/ml"	NA	NA	NA	NA	NA	"?"
