"prodcodeid"	"dmdid"	"termfromemis"	"productname"	"formulation"	"routeofadministration"	"drugsubstancename"	"substancestrength"	"bnfchapter"
"1636041000033113"	"7695711000001104"	"mabthera 100mg/10ml concentrate for solution for infusion vials (roche products ltd)"	"mabthera 100mg/10ml concentrate for solution for infusion vials"	"Solution for infusion"	"Intravenous"	"rituximab"	"10.000mg/1.000ml"	NA
"1636141000033112"	"7697011000001108"	"mabthera 500mg/50ml concentrate for solution for infusion vials (roche products ltd)"	"mabthera 500mg/50ml concentrate for solution for infusion vials"	"Solution for infusion"	"Intravenous"	"rituximab"	"10.000mg/1.000ml"	NA
"1673741000033119"	"35934711000001107"	"rituximab 100mg/10ml solution for infusion vials"	"rituximab 100mg/10ml solution for infusion vials"	"Solution for infusion"	"Intravenous"	"rituximab"	"10.000mg/1.000ml"	"08020300"
"1673841000033112"	"35934811000001104"	"rituximab 500mg/50ml solution for infusion vials"	"rituximab 500mg/50ml solution for infusion vials"	"Solution for infusion"	"Intravenous"	"rituximab"	"10.000mg/1.000ml"	"08020300"
"1716841000033117"	"35907511000001100"	"basiliximab 20mg powder and solvent for solution for injection vials"	"basiliximab 20mg powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Intravenous"	"basiliximab"	"20.000mg"	"08020200"
"1844141000033111"	NA	"zenapax  injection  5 mg/ml, 5 ml vial"	NA	NA	NA	NA	NA	NA
"1916141000033115"	"41764711000001106"	"infliximab 100mg powder for solution for infusion vials"	"infliximab 100mg powder for solution for infusion vials"	"Powder for solution for infusion"	"Intravenous"	"infliximab"	"100.000mg"	"10010300"
"1916241000033110"	"4398011000001107"	"remicade 100mg powder for concentrate for solution for infusion vials (merck sharp & dohme (uk) ltd)"	"remicade 100mg powder for concentrate for solution for infusion vials"	"Powder for solution for infusion"	"Intravenous"	"infliximab"	"100.000mg"	NA
"2147041000033113"	"36065611000001101"	"etanercept 25mg powder and solvent for solution for injection vials"	"etanercept 25mg powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Subcutaneous"	"etanercept"	"25.000mg"	"10010300"
"2147141000033112"	"4156611000001102"	"enbrel 25mg powder and solvent for solution for injection vials (pfizer ltd)"	"enbrel 25mg powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Subcutaneous"	"etanercept"	"25.000mg"	NA
"2188441000033111"	"41772111000001108"	"trastuzumab 150mg powder for solution for infusion vials"	"trastuzumab 150mg powder for solution for infusion vials"	"Powder for solution for infusion"	"Intravenous"	"trastuzumab"	"150.000mg"	"08010500"
"2188541000033112"	"4803011000001101"	"herceptin 150mg powder for concentrate for solution for infusion vials (roche products ltd)"	"herceptin 150mg powder for concentrate for solution for infusion vials"	"Powder for solution for infusion"	"Intravenous"	"trastuzumab"	"150.000mg"	NA
"2660841000033114"	"39695811000001101"	"imatinib 100mg capsules"	"imatinib 100mg capsules"	"Capsule/ Oral capsule"	"Oral"	"imatinib mesilate"	"100.000mg"	"08010500"
"2660941000033118"	"4332011000001100"	"glivec 100mg capsules (novartis pharmaceuticals uk ltd)"	"glivec 100mg capsules"	"Capsule/ Oral capsule"	"Oral"	"imatinib mesilate"	"100.000mg"	NA
"2731741000033112"	"4751711000001105"	"anakinra 100mg/0.67ml solution for injection pre-filled syringes"	"anakinra 100mg/0.67ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"anakinra"	"150.000mg/1.000ml"	"10010300"
"2731841000033119"	"4748711000001102"	"kineret 100mg/0.67ml solution for injection pre-filled syringes (swedish orphan biovitrum ltd)"	"kineret 100mg/0.67ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"anakinra"	"150.000mg/1.000ml"	NA
"2974641000033113"	"35906211000001100"	"basiliximab 10mg powder and solvent for solution for injection vials"	"basiliximab 10mg powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Intravenous"	"basiliximab"	"10.000mg"	"08020200"
"2994741000033113"	"35894411000001100"	"adalimumab 40mg/0.8ml solution for injection pre-filled syringes"	"adalimumab 40mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"adalimumab"	"50.000mg/1.000ml"	"10010300"
"2994841000033115"	"5007511000001108"	"humira 40mg/0.8ml solution for injection pre-filled syringes (abbvie ltd)"	"humira 40mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"adalimumab"	"50.000mg/1.000ml"	NA
"3050541000033119"	"39696111000001102"	"imatinib 400mg tablets"	"imatinib 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"imatinib mesilate"	"400.000mg"	"08010500"
"3050641000033118"	"7319811000001103"	"glivec 400mg tablets (novartis pharmaceuticals uk ltd)"	"glivec 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"imatinib mesilate"	"400.000mg"	NA
"3138941000033115"	"7525711000001100"	"bortezomib 3.5mg powder for solution for injection vials"	"bortezomib 3.5mg powder for solution for injection vials"	"Powder for solution for injection"	"Subcutaneous/ Intravenous"	"bortezomib"	"3.500mg"	"08010500"
"3139041000033112"	"7513011000001109"	"velcade 3.5mg powder for solution for injection vials (janssen-cilag ltd)"	"velcade 3.5mg powder for solution for injection vials"	"Powder for solution for injection"	"Subcutaneous/ Intravenous"	"bortezomib"	"3.500mg"	NA
"3177241000033114"	"39696011000001103"	"imatinib 100mg tablets"	"imatinib 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"imatinib mesilate"	"100.000mg"	"08010500"
"3177341000033116"	"8089611000001108"	"glivec 100mg tablets (novartis pharmaceuticals uk ltd)"	"glivec 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"imatinib mesilate"	"100.000mg"	NA
"3268841000033118"	"35911111000001100"	"bevacizumab 100mg/4ml solution for infusion vials"	"bevacizumab 100mg/4ml solution for infusion vials"	"Solution for infusion"	"Intravenous"	"bevacizumab"	"25.000mg/1.000ml"	"08010500"
"3268941000033114"	"35911211000001106"	"bevacizumab 400mg/16ml solution for infusion vials"	"bevacizumab 400mg/16ml solution for infusion vials"	"Solution for infusion"	"Intravenous"	"bevacizumab"	"25.000mg/1.000ml"	"08010500"
"3269041000033117"	"9152911000001108"	"avastin 100mg/4ml solution for infusion vials (roche products ltd)"	"avastin 100mg/4ml solution for infusion vials"	"Solution for infusion"	"Intravenous"	"bevacizumab"	"25.000mg/1.000ml"	NA
"3269141000033118"	"9152611000001102"	"avastin 400mg/16ml solution for infusion vials (roche products ltd)"	"avastin 400mg/16ml solution for infusion vials"	"Solution for infusion"	"Intravenous"	"bevacizumab"	"25.000mg/1.000ml"	NA
"3279841000033118"	"9188011000001102"	"alemtuzumab 30mg/1ml solution for infusion vials"	"alemtuzumab 30mg/1ml solution for infusion vials"	"Solution for infusion"	"Intravenous"	"alemtuzumab"	"30.000mg/1.000ml"	"08020300"
"3290341000033114"	"36065711000001105"	"etanercept 50mg powder and solvent for solution for injection vials"	"etanercept 50mg powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Subcutaneous"	"etanercept"	"50.000mg"	"10010300"
"3290441000033115"	"9309311000001101"	"enbrel 50mg powder and solvent for solution for injection vials (wyeth pharmaceuticals)"	"enbrel 50mg powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Subcutaneous"	"etanercept"	"50.000mg"	NA
"3944141000033113"	"36030311000001108"	"natalizumab 300mg/15ml solution for infusion vials"	"natalizumab 300mg/15ml solution for infusion vials"	"Solution for infusion"	"Intravenous"	"natalizumab"	"20.000mg/1.000ml"	"08020400"
"3944241000033118"	"10626311000001106"	"tysabri 300mg/15ml concentrate for solution for infusion vials (biogen idec ltd)"	"tysabri 300mg/15ml concentrate for solution for infusion vials"	"Solution for infusion"	"Intravenous"	"natalizumab"	"20.000mg/1.000ml"	NA
"3994241000033113"	"41761111000001107"	"dasatinib 20mg tablets"	"dasatinib 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"dasatinib monohydrate"	"20.000mg"	"08010500"
"3994341000033115"	"41761211000001101"	"dasatinib 50mg tablets"	"dasatinib 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"dasatinib monohydrate"	"50.000mg"	"08010500"
"3994441000033114"	"41761311000001109"	"dasatinib 70mg tablets"	"dasatinib 70mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"dasatinib monohydrate"	"70.000mg"	"08010500"
"3994641000033111"	"10985511000001102"	"sprycel 50mg tablets (bristol-myers squibb pharmaceuticals ltd)"	"sprycel 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"dasatinib monohydrate"	"50.000mg"	NA
"3995941000033115"	"10970211000001102"	"etanercept 50mg/1ml solution for injection pre-filled syringes"	"etanercept 50mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"etanercept"	"50.000mg/1.000ml"	"10010300"
"3996041000033113"	"10967711000001103"	"enbrel 50mg/1ml solution for injection pre-filled syringes (pfizer ltd)"	"enbrel 50mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"etanercept"	"50.000mg/1.000ml"	NA
"3996141000033112"	"11023211000001107"	"enbrel paediatric 25mg powder and solvent for solution for injection vials (pfizer ltd)"	"enbrel paediatric 25mg powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Subcutaneous"	"etanercept"	"25.000mg"	NA
"4012441000033113"	"11034511000001106"	"etanercept 25mg/0.5ml solution for injection pre-filled syringes"	"etanercept 25mg/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"etanercept"	"50.000mg/1.000ml"	"10010300"
"4012541000033114"	"11033511000001108"	"enbrel 25mg/0.5ml solution for injection pre-filled syringes (pfizer ltd)"	"enbrel 25mg/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"etanercept"	"50.000mg/1.000ml"	NA
"4042541000033115"	"11236911000001103"	"adalimumab 40mg/0.8ml solution for injection pre-filled disposable devices"	"adalimumab 40mg/0.8ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"adalimumab"	"50.000mg/1.000ml"	"10010300"
"4042641000033119"	"11188011000001105"	"humira 40mg/0.8ml solution for injection pre-filled pens (abbvie ltd)"	"humira 40mg/0.8ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"adalimumab"	"50.000mg/1.000ml"	NA
